"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
0,20240813a,fa/fa,Young,M,0,Empa,51.40974426269531,-5.786632537841797,45.623111724853516,3.9398277315888923,3.8204144241936704,-0.7729830712725271,-0.11941330739522193
1,20240813a,fa/fa,Young,M,10,Empa,54.36055374145508,-2.7872772216796875,51.57327651977539,3.995638775792044,3.943003641429017,-0.5043759682497901,-0.052635134363026914
2,20240813a,fa/fa,Young,M,11,Empa,58.3036003112793,-5.046363830566406,53.25723648071289,4.065663846360142,3.9751336917078777,-0.16735967312737549,-0.0905301546522641
3,20240813a,fa/fa,Young,M,12,Empa,45.07286834716797,-3.840888977050781,41.23197937011719,3.808280476726921,3.719214153573184,-1.4060930147175998,-0.08906632315373697
4,20240813a,fa/fa,Young,M,13,Empa,43.70719146728516,-1.874195098876953,41.83299636840821,3.777512653031066,3.7336854149328387,-1.5541722364425226,-0.043827238098227195
5,20240813a,fa/fa,Young,M,14,Empa,45.7923469543457,-1.421772003173828,44.370574951171875,3.824116980091181,3.7925765234130577,-1.3298751737612473,-0.03154045667812344
6,20240813a,fa/fa,Young,M,15,Empa,42.3940315246582,-1.9990196228027344,40.39501190185547,3.7470075864015864,3.6987063095684762,-1.7009868623261455,-0.04830127683311014
7,20240813a,fa/fa,Young,M,1,Empa,48.507774353027344,-4.659740447998047,43.8480339050293,3.881724081036124,3.780729880983557,-1.0526240182007907,-0.10099420005256743
8,20240813a,fa/fa,Young,M,2,Empa,48.605716705322266,-4.8087310791015625,43.7969856262207,3.883741151670383,3.779564993694943,-1.042916271151867,-0.10417615797544011
9,20240813a,fa/fa,Young,M,3,Empa,56.57902908325195,-4.588588714599609,51.990440368652344,4.035638405656408,3.951059862616577,-0.3118659578522108,-0.08457854303983048
10,20240813a,fa/fa,Young,M,4,Empa,56.01008605957031,-4.998558044433594,51.01152801513672,4.025531782724226,3.9320516466937288,-0.3605070600913122,-0.0934801360304971
11,20240813a,fa/fa,Young,M,5,Empa,52.3599967956543,-2.4054908752441406,49.954505920410156,3.9581428798433453,3.91111270964283,-0.6848360210909654,-0.047030170200515364
12,20240813a,fa/fa,Young,M,6,Empa,42.65940475463867,-4.048393249511719,38.61101150512695,3.7532477597025067,3.6535375079419694,-1.6709541887460053,-0.09971025176053727
13,20240813a,fa/fa,Young,M,7,Empa,52.9045295715332,-5.515323638916016,47.38920593261719,3.968488960369388,3.858394479827659,-0.6350424585906012,-0.11009448054172877
14,20240813a,fa/fa,Young,M,8,Empa,58.65102767944336,-4.622730255126953,54.028297424316406,4.0716050971871205,3.98950793568663,-0.13876565207381356,-0.0820971615004904
30,20240814a,fa/fa,Young,M,0,Empa,71.07527160644531,-6.066703796386719,65.0085678100586,4.263739478935957,4.174519073671577,0.7859377002728039,-0.08922040526437947
31,20240814a,fa/fa,Young,M,10,Empa,78.39309692382812,-9.202484130859377,69.19061279296875,4.361735874038815,4.236865200141087,1.2575742405144903,-0.12487067389772832
32,20240814a,fa/fa,Young,M,11,Empa,65.49699401855469,-7.074314117431641,58.42267990112305,4.182004248741604,4.0677041689153866,0.39256280985708547,-0.1143000798262177
33,20240814a,fa/fa,Young,M,12,Empa,60.49232864379883,-4.364604949951172,56.127723693847656,4.102516557721035,4.027629873951249,0.010004864277636857,-0.07488668376978591
34,20240814a,fa/fa,Young,M,13,Empa,69.95637512207031,-7.003322601318359,62.95305252075195,4.247871835229849,4.142389250510121,0.7095699872413037,-0.10548258471972805
35,20240814a,fa/fa,Young,M,14,Empa,74.16555786132812,-6.0196533203125,68.14590454101562,4.30629986264209,4.221651061560778,0.9907720934303331,-0.08464880108131201
36,20240814a,fa/fa,Young,M,15,Empa,63.988563537597656,-6.558723449707031,57.429840087890625,4.158704372666831,4.050564030402376,0.28042528756933305,-0.10814034226445468
37,20240814a,fa/fa,Young,M,16,Empa,65.75897979736328,-4.531711578369141,61.22726821899414,4.185996236597217,4.114592649420175,0.4117754282287279,-0.07140358717704132
38,20240814a,fa/fa,Young,M,17,Empa,63.91202926635742,-5.7218780517578125,58.19015121459961,4.157507595096106,4.0637161173007,0.27466544270663884,-0.09379147779540542
39,20240814a,fa/fa,Young,M,18,Empa,61.02375030517578,-5.084053039550781,55.939697265625,4.111263137661731,4.024274275989864,0.05210035868686743,-0.08698886167186703
40,20240814a,fa/fa,Young,M,19,Empa,61.72124862670898,-4.459739685058594,57.26150894165038,4.12262825779436,4.047628651779095,0.1067983497013129,-0.07499960601526467
41,20240814a,fa/fa,Young,M,1,Empa,74.81915283203125,-5.583404541015625,69.23574829101562,4.3150739061083865,4.237517323035787,1.0329997641526147,-0.0775565830725995
42,20240814a,fa/fa,Young,M,20,Empa,64.22193908691406,-5.3908233642578125,58.83111572265625,4.162344882645171,4.074670893895512,0.297946315042819,-0.08767398874965959
43,20240814a,fa/fa,Young,M,2,Empa,68.7535629272461,-3.738075256347656,65.01548767089844,4.23052855960015,4.174625513373382,0.6261003605691835,-0.055903046226768005
44,20240814a,fa/fa,Young,M,3,Empa,80.13231658935547,-6.193519592285156,73.93879699707031,4.3836792257596455,4.3032376833878985,1.3631830894528234,-0.08044154237174705
45,20240814a,fa/fa,Young,M,4,Empa,71.78606414794922,-4.028968811035156,67.75709533691406,4.273690364568816,4.2159291824963265,0.8338292708483996,-0.0577611820724897
46,20240814a,fa/fa,Young,M,5,Empa,85.69910430908203,-3.2350006103515625,82.46410369873047,4.450842374079829,4.4123630919722014,1.6864255400778945,-0.03847928210762763
47,20240814a,fa/fa,Young,M,6,Empa,69.39288330078125,-6.009906768798828,63.38297653198242,4.239784316156295,4.149195316428927,0.670646417542787,-0.09058899972736789
48,20240814a,fa/fa,Young,M,7,Empa,63.74438095092773,-2.5693588256835938,61.17502212524413,4.1548810382075745,4.113738971000008,0.26202436338576657,-0.04114206720756641
49,20240814a,fa/fa,Young,M,8,Empa,59.63982009887695,-3.11297607421875,56.5268440246582,4.088323473441233,4.034715640801449,-0.058303537863672324,-0.05360783263978419
50,20240814a,fa/fa,Young,M,9,Empa,69.59331512451172,-4.0596923828125,65.53362274169922,4.2426685156659465,4.182563335236109,0.6845274779294568,-0.06010518042983737
70,20240815a,fa/+,Young,F,0,Empa,62.61026382446289,-10.047836303710938,52.56242752075195,4.136929223523503,3.9620015588166764,0.1756259631204452,-0.17492766470682675
