rat,age,gtyp,sex,stage,variable,value
20241011a,Adult,fa/+,F,beforeAnesthesia,blood_glucose,6.4
20241011a,Adult,fa/+,F,vehicle,blood_glucose,14.9
20241011a,Adult,fa/+,F,empa,blood_glucose,14.0
20241011b,Adult,fa/+,F,vehicle,blood_glucose,14.5
20241011b,Adult,fa/+,F,empa,blood_glucose,11.0
20241014a,Adult,fa/+,F,beforeAnesthesia,blood_glucose,8.0
20241014a,Adult,fa/+,F,vehicle,blood_glucose,14.3
20241014a,Adult,fa/+,F,empa,blood_glucose,11.8
20241014b,Adult,fa/+,M,beforeAnesthesia,blood_glucose,10.6
20241014b,Adult,fa/+,M,vehicle,blood_glucose,16.1
20241015a,Adult,fa/+,M,beforeAnesthesia,blood_glucose,6.5
20241015a,Adult,fa/+,M,vehicle,blood_glucose,20.9
20241015a,Adult,fa/+,M,empa,blood_glucose,18.5
20241015b,Adult,fa/+,M,beforeAnesthesia,blood_glucose,7.0
20241015b,Adult,fa/+,M,vehicle,blood_glucose,20.8
20241015b,Adult,fa/+,M,empa,blood_glucose,17.6
20241021a,Adult,fa/fa,M,empa,blood_glucose,33.0
20241021b,Adult,fa/+,F,beforeAnesthesia,blood_glucose,7.1
20241021b,Adult,fa/+,F,vehicle,blood_glucose,15.8
20241021b,Adult,fa/+,F,empa,blood_glucose,15.1
20241022a,Adult,fa/+,F,vehicle,blood_glucose,15.9
20241022a,Adult,fa/+,F,empa,blood_glucose,14.9
20241022b,Adult,fa/fa,M,vehicle,blood_glucose,32.4
20241022b,Adult,fa/fa,M,empa,blood_glucose,27.2
20241023a,Adult,fa/+,M,beforeAnesthesia,blood_glucose,7.2
20241023a,Adult,fa/+,M,vehicle,blood_glucose,22.3
20241023a,Adult,fa/+,M,empa,blood_glucose,18.7
20241023b,Adult,fa/fa,F,beforeAnesthesia,blood_glucose,28.7
20241023b,Adult,fa/fa,F,vehicle,blood_glucose,29.9
20241023b,Adult,fa/fa,F,empa,blood_glucose,27.2
20241024a,Adult,fa/fa,F,beforeAnesthesia,blood_glucose,17.2
20241024a,Adult,fa/fa,F,vehicle,blood_glucose,25.2
20241024a,Adult,fa/fa,F,empa,blood_glucose,24.8
20241024b,Adult,fa/+,M,beforeAnesthesia,blood_glucose,8.0
20241024b,Adult,fa/+,M,empa,blood_glucose,18.3
20241025a,Adult,fa/fa,F,vehicle,blood_glucose,27.5
20241025a,Adult,fa/fa,F,empa,blood_glucose,21.95
20241028a,Adult,fa/fa,M,vehicle,blood_glucose,31.95
20241028a,Adult,fa/fa,M,empa,blood_glucose,29.0
20241029b,Adult,fa/+,F,beforeAnesthesia,blood_glucose,6.3
20241029b,Adult,fa/+,F,vehicle,blood_glucose,16.7
20241029b,Adult,fa/+,F,empa,blood_glucose,16.23
20241029c,Adult,fa/+,F,vehicle,blood_glucose,14.3
20241029c,Adult,fa/+,F,empa,blood_glucose,11.4
20241030a,Adult,fa/fa,F,vehicle,blood_glucose,30.9
20241030a,Adult,fa/fa,F,empa,blood_glucose,27.86666667
20241030b,Adult,fa/fa,F,vehicle,blood_glucose,29.9
20241030b,Adult,fa/fa,F,empa,blood_glucose,27.75
20240814a,Young,fa/fa,M,beforeAnesthesia,blood_glucose,31.6
20240814a,Young,fa/fa,M,vehicle,blood_glucose,30.2
20240814a,Young,fa/fa,M,empa,blood_glucose,25.0
20240815a,Young,fa/+,F,beforeAnesthesia,blood_glucose,7.7
20240815a,Young,fa/+,F,vehicle,blood_glucose,18.4
20240815a,Young,fa/+,F,empa,blood_glucose,17.8
20240815b,Young,fa/fa,F,vehicle,blood_glucose,31.6
20240815b,Young,fa/fa,F,empa,blood_glucose,29.6
20240816b,Young,fa/+,F,beforeAnesthesia,blood_glucose,6.9
20240816b,Young,fa/+,F,vehicle,blood_glucose,16.7
20240816b,Young,fa/+,F,empa,blood_glucose,15.8
20240820a,Young,fa/+,M,beforeAnesthesia,blood_glucose,6.5
20240820a,Young,fa/+,M,vehicle,blood_glucose,14.3
20240820a,Young,fa/+,M,empa,blood_glucose,11.5
20240820b,Young,fa/fa,M,vehicle,blood_glucose,30.4
20240820b,Young,fa/fa,M,empa,blood_glucose,29.2
20240821a,Young,fa/fa,M,beforeAnesthesia,blood_glucose,33.2
20240821b,Young,fa/+,M,beforeAnesthesia,blood_glucose,7.1
20240821b,Young,fa/+,M,vehicle,blood_glucose,18.4
20240821b,Young,fa/+,M,empa,blood_glucose,14.8
20240822a,Young,fa/+,F,beforeAnesthesia,blood_glucose,6.5
20240822b,Young,fa/+,M,beforeAnesthesia,blood_glucose,8.0
20240822b,Young,fa/+,M,vehicle,blood_glucose,17.8
20240822b,Young,fa/+,M,empa,blood_glucose,11.4
20240823a,Young,fa/fa,F,beforeAnesthesia,blood_glucose,27.5
20240823a,Young,fa/fa,F,vehicle,blood_glucose,32.2
20240823a,Young,fa/fa,F,empa,blood_glucose,29.5
20240823b,Young,fa/fa,F,beforeAnesthesia,blood_glucose,14.7
20240823b,Young,fa/fa,F,vehicle,blood_glucose,21.6
20240823b,Young,fa/fa,F,empa,blood_glucose,18.45
20240826a,Young,fa/+,M,beforeAnesthesia,blood_glucose,9.2
20241011a,Adult,fa/+,F,vehicle,plasma_na,104.0
20241011b,Adult,fa/+,F,vehicle,plasma_na,104.0
20241014a,Adult,fa/+,F,vehicle,plasma_na,108.0
20241014b,Adult,fa/+,M,vehicle,plasma_na,108.0
20241015a,Adult,fa/+,M,vehicle,plasma_na,100.0
20241015b,Adult,fa/+,M,vehicle,plasma_na,104.0
20241021a,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241022a,Adult,fa/+,F,vehicle,plasma_na,108.0
20241022b,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241023a,Adult,fa/+,M,vehicle,plasma_na,104.0
20241023b,Adult,fa/fa,F,vehicle,plasma_na,112.0
20241024a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241025a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241028a,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241029a,Adult,fa/fa,M,vehicle,plasma_na,96.0
20241029b,Adult,fa/+,F,vehicle,plasma_na,120.0
20241029c,Adult,fa/+,F,vehicle,plasma_na,108.0
20241030a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241030b,Adult,fa/fa,F,vehicle,plasma_na,84.0
20240813a,Young,fa/fa,M,vehicle,plasma_na,108.0
20240814a,Young,fa/fa,M,vehicle,plasma_na,108.0
20240815a,Young,fa/+,F,vehicle,plasma_na,104.0
20240815b,Young,fa/fa,F,vehicle,plasma_na,108.0
20240816a,Young,fa/fa,F,vehicle,plasma_na,116.0
20240816b,Young,fa/+,F,vehicle,plasma_na,108.0
20240820a,Young,fa/+,M,vehicle,plasma_na,112.0
20240820b,Young,fa/fa,M,vehicle,plasma_na,116.0
20240821a,Young,fa/fa,M,vehicle,plasma_na,92.0
20240821b,Young,fa/+,M,vehicle,plasma_na,104.0
20240822b,Young,fa/+,M,vehicle,plasma_na,108.0
20240823a,Young,fa/fa,F,vehicle,plasma_na,88.0
20240823b,Young,fa/fa,F,vehicle,plasma_na,96.0
20240826a,Young,fa/+,M,vehicle,plasma_na,100.0
20241021b,Adult,fa/+,F,vehicle,plasma_na,112.0
20240826b,Young,fa/+,F,vehicle,plasma_na,112.0
20241011a,Adult,fa/+,F,vehicle,urine_flow,5.8
20241011b,Adult,fa/+,F,vehicle,urine_flow,6.7
20241014a,Adult,fa/+,F,vehicle,urine_flow,4.4
20241014b,Adult,fa/+,M,vehicle,urine_flow,1.8
20241015a,Adult,fa/+,M,vehicle,urine_flow,7.4
20241015b,Adult,fa/+,M,vehicle,urine_flow,10.3
20241021a,Adult,fa/fa,M,vehicle,urine_flow,53.9
20241022a,Adult,fa/+,F,vehicle,urine_flow,9.2
20241022b,Adult,fa/fa,M,vehicle,urine_flow,61.8
20241023a,Adult,fa/+,M,vehicle,urine_flow,4.0
20241023b,Adult,fa/fa,F,vehicle,urine_flow,27.9
20241024a,Adult,fa/fa,F,vehicle,urine_flow,15.4
20241025a,Adult,fa/fa,F,vehicle,urine_flow,27.3
20241028a,Adult,fa/fa,M,vehicle,urine_flow,64.3
20241029a,Adult,fa/fa,M,vehicle,urine_flow,1.0
20241029b,Adult,fa/+,F,vehicle,urine_flow,6.1
20241029c,Adult,fa/+,F,vehicle,urine_flow,6.5
20241030a,Adult,fa/fa,F,vehicle,urine_flow,43.0
20241030b,Adult,fa/fa,F,vehicle,urine_flow,48.7
20240813a,Young,fa/fa,M,vehicle,urine_flow,8.9
20240814a,Young,fa/fa,M,vehicle,urine_flow,35.5
20240815a,Young,fa/+,F,vehicle,urine_flow,5.6
20240815b,Young,fa/fa,F,vehicle,urine_flow,29.0
20240816a,Young,fa/fa,F,vehicle,urine_flow,32.4
20240816b,Young,fa/+,F,vehicle,urine_flow,9.5
20240820a,Young,fa/+,M,vehicle,urine_flow,9.1
20240820b,Young,fa/fa,M,vehicle,urine_flow,46.6
20240821a,Young,fa/fa,M,vehicle,urine_flow,41.6
20240821b,Young,fa/+,M,vehicle,urine_flow,6.7
20240822b,Young,fa/+,M,vehicle,urine_flow,2.1
20240823a,Young,fa/fa,F,vehicle,urine_flow,31.9
20240823b,Young,fa/fa,F,vehicle,urine_flow,10.7
20240826a,Young,fa/+,M,vehicle,urine_flow,1.8
20241021b,Adult,fa/+,F,vehicle,urine_flow,
20240826b,Young,fa/+,F,vehicle,urine_flow,7.6
20241011a,Adult,fa/+,F,vehicle,excretion_na,
20241011b,Adult,fa/+,F,vehicle,excretion_na,0.9045
20241014a,Adult,fa/+,F,vehicle,excretion_na,
20241014b,Adult,fa/+,M,vehicle,excretion_na,
20241015a,Adult,fa/+,M,vehicle,excretion_na,0.1702
20241015b,Adult,fa/+,M,vehicle,excretion_na,0.4738
20241021a,Adult,fa/fa,M,vehicle,excretion_na,1.8326
20241022a,Adult,fa/+,F,vehicle,excretion_na,0.9292
20241022b,Adult,fa/fa,M,vehicle,excretion_na,1.6068
20241023a,Adult,fa/+,M,vehicle,excretion_na,
20241023b,Adult,fa/fa,F,vehicle,excretion_na,1.1997
20241024a,Adult,fa/fa,F,vehicle,excretion_na,0.8316
20241025a,Adult,fa/fa,F,vehicle,excretion_na,1.4742000000000002
20241028a,Adult,fa/fa,M,vehicle,excretion_na,3.215
20241029a,Adult,fa/fa,M,vehicle,excretion_na,0.033
20241029b,Adult,fa/+,F,vehicle,excretion_na,0.305
20241029c,Adult,fa/+,F,vehicle,excretion_na,0.9555
20241030a,Adult,fa/fa,F,vehicle,excretion_na,1.634
20241030b,Adult,fa/fa,F,vehicle,excretion_na,1.2662
20240813a,Young,fa/fa,M,vehicle,excretion_na,0.1157
20240814a,Young,fa/fa,M,vehicle,excretion_na,0.994
20240815a,Young,fa/+,F,vehicle,excretion_na,
20240815b,Young,fa/fa,F,vehicle,excretion_na,1.363
20240816a,Young,fa/fa,F,vehicle,excretion_na,1.8144
20240816b,Young,fa/+,F,vehicle,excretion_na,1.2445
20240820a,Young,fa/+,M,vehicle,excretion_na,1.1375
20240820b,Young,fa/fa,M,vehicle,excretion_na,1.165
20240821a,Young,fa/fa,M,vehicle,excretion_na,1.9552
20240821b,Young,fa/+,M,vehicle,excretion_na,0.3752
20240822b,Young,fa/+,M,vehicle,excretion_na,0.0651
20240823a,Young,fa/fa,F,vehicle,excretion_na,1.7226
20240823b,Young,fa/fa,F,vehicle,excretion_na,0.8131999999999999
20240826a,Young,fa/+,M,vehicle,excretion_na,
20241021b,Adult,fa/+,F,vehicle,excretion_na,
20240826b,Young,fa/+,F,vehicle,excretion_na,
20241011a,Adult,fa/+,F,vehicle,excretion_glucose,1.1542
20241011b,Adult,fa/+,F,vehicle,excretion_glucose,0.0871
20241014a,Adult,fa/+,F,vehicle,excretion_glucose,0.8184000000000001
20241014b,Adult,fa/+,M,vehicle,excretion_glucose,0.648
20241015a,Adult,fa/+,M,vehicle,excretion_glucose,2.146
20241015b,Adult,fa/+,M,vehicle,excretion_glucose,3.193
20241021a,Adult,fa/fa,M,vehicle,excretion_glucose,16.709
20241022a,Adult,fa/+,F,vehicle,excretion_glucose,1.6928
20241022b,Adult,fa/fa,M,vehicle,excretion_glucose,19.158
20241023a,Adult,fa/+,M,vehicle,excretion_glucose,1.16
20241023b,Adult,fa/fa,F,vehicle,excretion_glucose,8.928
20241024a,Adult,fa/fa,F,vehicle,excretion_glucose,4.774
20241025a,Adult,fa/fa,F,vehicle,excretion_glucose,9.009
20241028a,Adult,fa/fa,M,vehicle,excretion_glucose,16.718
20241029a,Adult,fa/fa,M,vehicle,excretion_glucose,0.3
20241029b,Adult,fa/+,F,vehicle,excretion_glucose,1.769
20241029c,Adult,fa/+,F,vehicle,excretion_glucose,1.2545
20241030a,Adult,fa/fa,F,vehicle,excretion_glucose,15.05
20241030b,Adult,fa/fa,F,vehicle,excretion_glucose,17.045
20240813a,Young,fa/fa,M,vehicle,excretion_glucose,4.8950000000000005
20240814a,Young,fa/fa,M,vehicle,excretion_glucose,20.945
20240815a,Young,fa/+,F,vehicle,excretion_glucose,1.68
20240815b,Young,fa/fa,F,vehicle,excretion_glucose,16.240000000000002
20240816a,Young,fa/fa,F,vehicle,excretion_glucose,11.016
20240816b,Young,fa/+,F,vehicle,excretion_glucose,1.8145
20240820a,Young,fa/+,M,vehicle,excretion_glucose,1.6198
20240820b,Young,fa/fa,M,vehicle,excretion_glucose,16.776
20240821a,Young,fa/fa,M,vehicle,excretion_glucose,14.976
20240821b,Young,fa/+,M,vehicle,excretion_glucose,2.211
20240822b,Young,fa/+,M,vehicle,excretion_glucose,0.714
20240823a,Young,fa/fa,F,vehicle,excretion_glucose,11.165
20240823b,Young,fa/fa,F,vehicle,excretion_glucose,3.103
20240826a,Young,fa/+,M,vehicle,excretion_glucose,0.387
20241021b,Adult,fa/+,F,vehicle,excretion_glucose,
20240826b,Young,fa/+,F,vehicle,excretion_glucose,
20240813a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,12.0
20240814a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,12.0
20240815a,Young,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20240815b,Young,fa/fa,F,empa_minus_vehicle,plasma_na,
20240816a,Young,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20240816b,Young,fa/+,F,empa_minus_vehicle,plasma_na,12.0
20240820a,Young,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20240820b,Young,fa/fa,M,empa_minus_vehicle,plasma_na,-4.0
20240821a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,28.0
20240821b,Young,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20240822b,Young,fa/+,M,empa_minus_vehicle,plasma_na,0.0
20240823a,Young,fa/fa,F,empa_minus_vehicle,plasma_na,24.0
20240823b,Young,fa/fa,F,empa_minus_vehicle,plasma_na,4.0
20240826a,Young,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20241011a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,0.0
20241011b,Adult,fa/+,F,empa_minus_vehicle,plasma_na,16.0
20241014a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20241014b,Adult,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20241015a,Adult,fa/+,M,empa_minus_vehicle,plasma_na,16.0
20241015b,Adult,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20241021a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,8.0
20241022a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,8.0
20241022b,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,-4.0
20241023a,Adult,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20241023b,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,12.0
20241024a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20241024b,Adult,fa/+,M,empa_minus_vehicle,plasma_na,
20241025a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20241028a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,8.0
20241029a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,20.0
20241029b,Adult,fa/+,F,empa_minus_vehicle,plasma_na,-12.0
20241029c,Adult,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20241030a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,24.0
20241030b,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,28.0
20240826b,Young,fa/+,F,empa_minus_vehicle,plasma_na,12.0
20241021b,Adult,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20240813a,Young,fa/fa,M,empa_minus_vehicle,urine_flow,-1.8000000000000007
20240814a,Young,fa/fa,M,empa_minus_vehicle,urine_flow,10.799999999999995
20240815a,Young,fa/+,F,empa_minus_vehicle,urine_flow,2.0
20240815b,Young,fa/fa,F,empa_minus_vehicle,urine_flow,-0.6000000000000014
20240816a,Young,fa/fa,F,empa_minus_vehicle,urine_flow,2.700000000000003
20240816b,Young,fa/+,F,empa_minus_vehicle,urine_flow,5.1
20240820a,Young,fa/+,M,empa_minus_vehicle,urine_flow,6.800000000000001
20240820b,Young,fa/fa,M,empa_minus_vehicle,urine_flow,-0.1000000000000014
20240821a,Young,fa/fa,M,empa_minus_vehicle,urine_flow,4.100000000000001
