value,rat,stage,age,gtyp,sex,too_high,log_value
31.6,20240814a,beforeAnesthesia,Young,fa/fa,M,none,3.4531571205928664
30.2,20240814a,vehicle,Young,fa/fa,M,none,3.407841924380824
25.0,20240814a,empa,Young,fa/fa,M,none,3.2188758248682006
7.7,20240815a,beforeAnesthesia,Young,fa/+,F,none,2.0412203288596382
18.4,20240815a,vehicle,Young,fa/+,F,none,2.91235066461494
17.8,20240815a,empa,Young,fa/+,F,none,2.8791984572980396
33.7,20240815b,beforeAnesthesia,Young,fa/fa,F,right,3.517497837358316
31.6,20240815b,vehicle,Young,fa/fa,F,none,3.4531571205928664
29.6,20240815b,empa,Young,fa/fa,F,none,3.3877743613300146
6.9,20240816b,beforeAnesthesia,Young,fa/+,F,none,1.9315214116032138
16.7,20240816b,vehicle,Young,fa/+,F,none,2.8154087194227095
15.8,20240816b,empa,Young,fa/+,F,none,2.760009940032921
6.5,20240820a,beforeAnesthesia,Young,fa/+,M,none,1.8718021769015913
14.3,20240820a,vehicle,Young,fa/+,M,none,2.6602595372658615
11.5,20240820a,empa,Young,fa/+,M,none,2.4423470353692043
33.7,20240820b,beforeAnesthesia,Young,fa/fa,M,right,3.517497837358316
30.4,20240820b,vehicle,Young,fa/fa,M,none,3.414442608412176
29.2,20240820b,empa,Young,fa/fa,M,none,3.374168709274236
33.2,20240821a,beforeAnesthesia,Young,fa/fa,M,none,3.502549875922443
33.7,20240821a,vehicle,Young,fa/fa,M,right,3.517497837358316
33.7,20240821a,empa,Young,fa/fa,M,right,3.517497837358316
7.1,20240821b,beforeAnesthesia,Young,fa/+,M,none,1.9600947840472698
18.4,20240821b,vehicle,Young,fa/+,M,none,2.91235066461494
14.8,20240821b,empa,Young,fa/+,M,none,2.6946271807700692
6.5,20240822a,beforeAnesthesia,Young,fa/+,F,none,1.8718021769015913
8.0,20240822b,beforeAnesthesia,Young,fa/+,M,none,2.0794415416798357
17.8,20240822b,vehicle,Young,fa/+,M,none,2.8791984572980396
11.4,20240822b,empa,Young,fa/+,M,none,2.4336133554004498
27.5,20240823a,beforeAnesthesia,Young,fa/fa,F,none,3.3141860046725258
32.2,20240823a,vehicle,Young,fa/fa,F,none,3.4719664525503626
29.5,20240823a,empa,Young,fa/fa,F,none,3.3843902633457743
14.7,20240823b,beforeAnesthesia,Young,fa/fa,F,none,2.6878474937846906
21.6,20240823b,vehicle,Young,fa/fa,F,none,3.0726933146901194
18.45,20240823b,empa,Young,fa/fa,F,none,2.915064370486536
9.2,20240826a,beforeAnesthesia,Young,fa/+,M,none,2.2192034840549946
6.4,20241011a,beforeAnesthesia,Adult,fa/+,F,none,1.8562979903656263
14.9,20241011a,vehicle,Adult,fa/+,F,none,2.7013612129514133
14.0,20241011a,empa,Adult,fa/+,F,none,2.6390573296152584
14.5,20241011b,vehicle,Adult,fa/+,F,none,2.6741486494265287
11.0,20241011b,empa,Adult,fa/+,F,none,2.3978952727983707
8.0,20241014a,beforeAnesthesia,Adult,fa/+,F,none,2.0794415416798357
14.3,20241014a,vehicle,Adult,fa/+,F,none,2.6602595372658615
11.8,20241014a,empa,Adult,fa/+,F,none,2.468099531471619
10.6,20241014b,beforeAnesthesia,Adult,fa/+,M,none,2.3608540011180215
16.1,20241014b,vehicle,Adult,fa/+,M,none,2.7788192719904172
6.5,20241015a,beforeAnesthesia,Adult,fa/+,M,none,1.8718021769015913
20.9,20241015a,vehicle,Adult,fa/+,M,none,3.039749158970765
18.5,20241015a,empa,Adult,fa/+,M,none,2.917770732084279
7.0,20241015b,beforeAnesthesia,Adult,fa/+,M,none,1.9459101490553132
20.8,20241015b,vehicle,Adult,fa/+,M,none,3.0349529867072724
17.6,20241015b,empa,Adult,fa/+,M,none,2.8678989020441064
33.7,20241021a,beforeAnesthesia,Adult,fa/fa,M,right,3.517497837358316
33.7,20241021a,vehicle,Adult,fa/fa,M,right,3.517497837358316
33.0,20241021a,empa,Adult,fa/fa,M,none,3.4965075614664802
7.1,20241021b,beforeAnesthesia,Adult,fa/+,F,none,1.9600947840472698
15.8,20241021b,vehicle,Adult,fa/+,F,none,2.760009940032921
15.1,20241021b,empa,Adult,fa/+,F,none,2.714694743820879
15.9,20241022a,vehicle,Adult,fa/+,F,none,2.766319109226186
14.9,20241022a,empa,Adult,fa/+,F,none,2.7013612129514133
33.7,20241022b,beforeAnesthesia,Adult,fa/fa,M,right,3.517497837358316
32.4,20241022b,vehicle,Adult,fa/fa,M,none,3.4781584227982836
27.2,20241022b,empa,Adult,fa/fa,M,none,3.3032169733019514
7.2,20241023a,beforeAnesthesia,Adult,fa/+,M,none,1.9740810260220096
22.3,20241023a,vehicle,Adult,fa/+,M,none,3.104586678466073
18.7,20241023a,empa,Adult,fa/+,M,none,2.928523523860541
28.7,20241023b,beforeAnesthesia,Adult,fa/fa,F,none,3.3568971227655755
29.9,20241023b,vehicle,Adult,fa/fa,F,none,3.3978584803966405
27.2,20241023b,empa,Adult,fa/fa,F,none,3.3032169733019514
17.2,20241024a,beforeAnesthesia,Adult,fa/fa,F,none,2.8449093838194073
25.2,20241024a,vehicle,Adult,fa/fa,F,none,3.2268439945173775
24.8,20241024a,empa,Adult,fa/fa,F,none,3.2108436531709366
8.0,20241024b,beforeAnesthesia,Adult,fa/+,M,none,2.0794415416798357
18.3,20241024b,empa,Adult,fa/+,M,none,2.9069010598473755
33.7,20241025a,beforeAnesthesia,Adult,fa/fa,F,right,3.517497837358316
27.5,20241025a,vehicle,Adult,fa/fa,F,none,3.3141860046725258
21.95,20241025a,empa,Adult,fa/fa,F,none,3.08876713952118
33.7,20241028a,beforeAnesthesia,Adult,fa/fa,M,right,3.517497837358316
31.95,20241028a,vehicle,Adult,fa/fa,M,none,3.4641721808235437
29.0,20241028a,empa,Adult,fa/fa,M,none,3.367295829986474
6.3,20241029b,beforeAnesthesia,Adult,fa/+,F,none,1.840549633397487
16.7,20241029b,vehicle,Adult,fa/+,F,none,2.8154087194227095
16.23,20241029b,empa,Adult,fa/+,F,none,2.7868613815264998
14.3,20241029c,vehicle,Adult,fa/+,F,none,2.6602595372658615
11.4,20241029c,empa,Adult,fa/+,F,none,2.4336133554004498
33.7,20241030a,beforeAnesthesia,Adult,fa/fa,F,right,3.517497837358316
30.9,20241030a,vehicle,Adult,fa/fa,F,none,3.4307561839036995
27.86666667,20241030a,empa,Adult,fa/fa,F,none,3.3274312315421635
33.7,20241030b,beforeAnesthesia,Adult,fa/fa,F,right,3.517497837358316
29.9,20241030b,vehicle,Adult,fa/fa,F,none,3.3978584803966405
27.75,20241030b,empa,Adult,fa/fa,F,none,3.3232358401924436
