"",rat,gtyp,age,sex,treatment,bp_baseline,bp_change,bp_injected,log_bp_baseline,log_bp_injected,log_bp_baseline_std,log_bp_change
15,20240813a,fa/fa,Young,M,Vehicle,123.31202,-9.208690000000004,114.10333,4.814717891225841,4.737104441367662,-0.1099184116032858,-0.07761344985817864
51,20240814a,fa/fa,Young,M,Vehicle,128.43805,3.707809999999995,132.14586,4.855446686919828,4.8839063125232425,0.4102097421348032,0.028459625603414196
98,20240815a,fa/+,Young,F,Vehicle,122.92593,6.138599999999997,129.06453,4.8115819788581575,4.860312511845215,-0.1499656627506653,0.048730532987057096
152,20240815b,fa/fa,Young,F,Vehicle,109.07689,3.2300559999999905,112.306946,4.6920530463864845,4.721235712013287,-1.6764130301584257,0.029182665626802162
202,20240816a,fa/fa,Young,F,Vehicle,131.5759,-7.378299999999996,124.1976,4.879583871421655,4.821873845641176,0.7184542899406703,-0.057710025780479235
259,20240816b,fa/+,Young,F,Vehicle,114.59617,6.63288,121.22905,4.741414383128791,4.797681731383649,-1.0460427845287512,0.05626734825485791
317,20240820a,fa/+,Young,M,Vehicle,124.87928,-1.4147600000000011,123.46452,4.827347510655643,4.815953827343694,0.051368474603550415,-0.011393683311948344
365,20240820b,fa/fa,Young,M,Vehicle,120.4565,0.08867999999999654,120.54518,4.791288691905399,4.792024620418449,-0.4091216160796133,0.0007359285130492665
412,20240821a,fa/fa,Young,M,Vehicle,121.58382,5.629109999999997,127.21293,4.800603901468378,4.845862296683311,-0.2901614880149718,0.045258395214933245
457,20240821b,fa/+,Young,M,Vehicle,122.36556,5.519496000000004,127.885056,4.807012957936523,4.851131860476071,-0.2083144642771277,0.04411890253954809
518,20240822b,fa/+,Young,M,Vehicle,123.03403,8.00200000000001,131.03603,4.81246098377392,4.875472323553027,-0.13874030741737103,0.06301133977910744
574,20240823a,fa/fa,Young,F,Vehicle,116.02306,4.625770000000003,120.64883,4.753788964453082,4.792884094551994,-0.8880128691380642,0.039095130098911746
628,20240823b,fa/fa,Young,F,Vehicle,121.21118,6.7152499999999975,127.92643,4.7975343136054,4.8514553330535355,-0.3293617403353024,0.05392101944813543
685,20240826a,fa/+,Young,M,Vehicle,117.25614,3.7093749999999943,120.965515,4.764360772693039,4.795505504976523,-0.7530053147081204,0.03114473228348391
26,20241011a,fa/+,Adult,F,Vehicle,135.25256,6.130660000000006,141.38322,4.9071438454587355,4.951474075982106,1.0704096612872476,0.044330230523370595
81,20241011b,fa/+,Adult,F,Vehicle,137.33214,1.64058,138.97272,4.922402371323276,4.93427765487657,1.2652690660758827,0.011875283553293592
142,20241014a,fa/+,Adult,F,Vehicle,128.9717,5.991600000000005,134.9633,4.859593000449433,4.9050028896281646,0.4631603478236131,0.04540988917873179
194,20241014b,fa/+,Adult,M,Vehicle,112.63493,9.038325999999998,121.673256,4.724151880743313,4.801339222351951,-1.266494024042895,0.07718734160863772
237,20241015a,fa/+,Adult,M,Vehicle,128.2109,0.12796999999997638,128.33887,4.853676564273221,4.854674187546191,0.3876043444454808,0.0009976232729700385
279,20241015b,fa/+,Adult,M,Vehicle,114.854195,5.810988999999992,120.665184,4.743663454371405,4.793019635789355,-1.0173209612311584,0.04935618141794951
322,20241021a,fa/fa,Adult,M,Vehicle,115.75365,-11.989129999999989,103.76452,4.751464225946496,4.642124101125696,-0.9177010032149842,-0.10934012482079947
362,20241021b,fa/+,Adult,F,Vehicle,130.31184,7.17362,137.48546,4.869930347232093,4.923518166060636,0.5951737060631527,0.05358781882854302
408,20241022a,fa/+,Adult,F,Vehicle,130.69278,4.174990000000008,134.86777,4.872849378094389,4.904294816951499,0.6324512662571246,0.03144543885710949
449,20241022b,fa/fa,Adult,M,Vehicle,129.76086,6.871039999999994,136.6319,4.8656932179653625,4.917290448423655,0.5410633356212524,0.051597230458292564
479,20241023a,fa/+,Adult,M,Vehicle,120.41127,1.7667299999999955,122.178,4.790913133145241,4.805478997796433,-0.41391769907722725,0.014565864651191696
517,20241023b,fa/fa,Adult,F,Vehicle,126.77146,1.839880000000008,128.61134,4.842385937804723,4.85679498832021,0.24341710297314645,0.014409050515487465
548,20241024a,fa/fa,Adult,F,Vehicle,134.8544,3.927030000000002,138.78143,4.904195677900296,4.932900249496714,1.032760010150919,0.028704571596417594
594,20241025a,fa/fa,Adult,F,Vehicle,126.63602,9.293649999999985,135.92967,4.841316987409915,4.912137619624059,0.2297660439173715,0.07082063221414447
625,20241028a,fa/fa,Adult,M,Vehicle,115.94277,8.784350000000003,124.72712,4.75309670729429,4.826128310996914,-0.8968533573425211,0.07303160370262418
659,20241029a,fa/fa,Adult,M,Vehicle,123.82638,9.242070000000012,133.06845,4.81888042317295,4.890863657483004,-0.05676068818831473,0.07198323431005349
701,20241029b,fa/+,Adult,F,Vehicle,137.77512,1.8241100000000188,139.59923,4.925622790754222,4.938775674553748,1.3063955168913028,0.013152883799525839
746,20241029c,fa/+,Adult,F,Vehicle,119.859856,8.397623999999993,128.25748,4.786323193627682,4.8540398059368695,-0.47253364208164794,0.06771661230918724
788,20241030a,fa/fa,Adult,F,Vehicle,116.84752,12.78110000000001,129.62862,4.760869836968454,4.864673592871417,-0.7975864009471826,0.10380375590296254
814,20241030b,fa/fa,Adult,F,Vehicle,113.0837,4.97993000000001,118.06363,4.728128252488186,4.7712237164176186,-1.2157136643736222,0.043095463929432754
