rat,age,gtyp,sex,stage,variable,value
20241011a,Adult,fa/+,F,vehicle,excretion_glucose,1.1542
20241011b,Adult,fa/+,F,vehicle,excretion_glucose,0.0871
20241014a,Adult,fa/+,F,vehicle,excretion_glucose,0.8184000000000001
20241014b,Adult,fa/+,M,vehicle,excretion_glucose,0.648
20241015a,Adult,fa/+,M,vehicle,excretion_glucose,2.146
20241015b,Adult,fa/+,M,vehicle,excretion_glucose,3.193
20241021a,Adult,fa/fa,M,vehicle,excretion_glucose,16.709
20241022a,Adult,fa/+,F,vehicle,excretion_glucose,1.6928
20241022b,Adult,fa/fa,M,vehicle,excretion_glucose,19.158
20241023a,Adult,fa/+,M,vehicle,excretion_glucose,1.16
20241023b,Adult,fa/fa,F,vehicle,excretion_glucose,8.928
20241024a,Adult,fa/fa,F,vehicle,excretion_glucose,4.774
20241025a,Adult,fa/fa,F,vehicle,excretion_glucose,9.009
20241028a,Adult,fa/fa,M,vehicle,excretion_glucose,16.718
20241029a,Adult,fa/fa,M,vehicle,excretion_glucose,0.3
20241029b,Adult,fa/+,F,vehicle,excretion_glucose,1.769
20241029c,Adult,fa/+,F,vehicle,excretion_glucose,1.2545
20241030a,Adult,fa/fa,F,vehicle,excretion_glucose,15.05
20241030b,Adult,fa/fa,F,vehicle,excretion_glucose,17.045
20240813a,Young,fa/fa,M,vehicle,excretion_glucose,4.8950000000000005
20240814a,Young,fa/fa,M,vehicle,excretion_glucose,20.945
20240815a,Young,fa/+,F,vehicle,excretion_glucose,1.68
20240815b,Young,fa/fa,F,vehicle,excretion_glucose,16.240000000000002
20240816a,Young,fa/fa,F,vehicle,excretion_glucose,11.016
20240816b,Young,fa/+,F,vehicle,excretion_glucose,1.8145
20240820a,Young,fa/+,M,vehicle,excretion_glucose,1.6198
20240820b,Young,fa/fa,M,vehicle,excretion_glucose,16.776
20240821a,Young,fa/fa,M,vehicle,excretion_glucose,14.976
20240821b,Young,fa/+,M,vehicle,excretion_glucose,2.211
20240822b,Young,fa/+,M,vehicle,excretion_glucose,0.714
20240823a,Young,fa/fa,F,vehicle,excretion_glucose,11.165
20240823b,Young,fa/fa,F,vehicle,excretion_glucose,3.103
20240826a,Young,fa/+,M,vehicle,excretion_glucose,0.387
20240813a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,-1.8420000000000003
20240814a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,1.279
20240815a,Young,fa/+,F,empa_minus_vehicle,excretion_glucose,1.0560000000000005
20240815b,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,-2.040000000000001
20240816a,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,1.269
20240816b,Young,fa/+,F,empa_minus_vehicle,excretion_glucose,1.9815000000000005
20240820a,Young,fa/+,M,empa_minus_vehicle,excretion_glucose,3.7862
20240821a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,1.019000000000002
