rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,3.3639
20241029c,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,2.6825
20241029b,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,1.891
20241022a,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,3.1672
20241014a,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,2.1516
20241011a,Adult,fa/+,F,empa_minus_vehicle,excretion_glucose,2.8448
20241023a,Adult,fa/+,M,empa_minus_vehicle,excretion_glucose,4.219
20241015b,Adult,fa/+,M,empa_minus_vehicle,excretion_glucose,1.922
20241015a,Adult,fa/+,M,empa_minus_vehicle,excretion_glucose,2.4620000000000006
20241014b,Adult,fa/+,M,empa_minus_vehicle,excretion_glucose,2.397
20240815a,Young,fa/+,F,empa_minus_vehicle,excretion_glucose,1.0560000000000005
20240816b,Young,fa/+,F,empa_minus_vehicle,excretion_glucose,1.9815000000000005
20240821b,Young,fa/+,M,empa_minus_vehicle,excretion_glucose,-0.1459999999999999
20240826a,Young,fa/+,M,empa_minus_vehicle,excretion_glucose,2.133
20240822b,Young,fa/+,M,empa_minus_vehicle,excretion_glucose,2.289
20240820a,Young,fa/+,M,empa_minus_vehicle,excretion_glucose,3.7862
20241023b,Adult,fa/fa,F,empa_minus_vehicle,excretion_glucose,3.596
20241024a,Adult,fa/fa,F,empa_minus_vehicle,excretion_glucose,3.5200000000000005
20241025a,Adult,fa/fa,F,empa_minus_vehicle,excretion_glucose,2.0009999999999994
20241030a,Adult,fa/fa,F,empa_minus_vehicle,excretion_glucose,-0.4639999999999986
20241030b,Adult,fa/fa,F,empa_minus_vehicle,excretion_glucose,-4.839000000000002
20241021a,Adult,fa/fa,M,empa_minus_vehicle,excretion_glucose,1.0500000000000007
20241022b,Adult,fa/fa,M,empa_minus_vehicle,excretion_glucose,7.902000000000001
20241028a,Adult,fa/fa,M,empa_minus_vehicle,excretion_glucose,4.338000000000001
20241029a,Adult,fa/fa,M,empa_minus_vehicle,excretion_glucose,2.571
20240823b,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,2.903
20240823a,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,1.3419999999999987
20240816a,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,1.269
20240815b,Young,fa/fa,F,empa_minus_vehicle,excretion_glucose,-2.040000000000001
20240814a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,1.279
20240813a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,-1.8420000000000003
20240821a,Young,fa/fa,M,empa_minus_vehicle,excretion_glucose,1.019000000000002
