rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,3.6793624392395463
20241029c,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,1.1436819251372605
20241029b,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,0.7270487322356268
20241022a,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,1.054654475230559
20241014a,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,1.2889660171593285
20241011a,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,1.2426368665699525
20241023a,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,1.5340824781728324
20241015b,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,0.47121648567094465
20241015a,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,0.7641882791850835
20241014b,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,1.5473654837917228
20240815a,Young,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,0.48770320634513664
20240816b,Young,fa/+,F,log_empa_minus_log_vehicle,excretion_glucose,0.7381379330766935
20240821b,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,-0.06831467546231307
20240826a,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,1.873589487475687
20240822b,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,1.4364841056437458
20240820a,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_glucose,1.2052067630215033
20241023b,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.33845439782520437
20241024a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.5523478339075514
20241025a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.20057987306528524
20241030a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,-0.03131582663284371
20241030b,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,-0.333929271467563
20241021a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,0.06094493326045214
20241022b,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,0.3453362397819424
20241028a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,0.23069957186594214
20241029a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,2.258633205464863
20240823b,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.6603895840948955
20240823a,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.1135046022746482
20240816a,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,0.10903024454678878
20240815b,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_glucose,-0.13423537012631703
20240814a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,0.059272831612989574
20240813a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,-0.472089562229733
20240821a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_glucose,0.06582725366624498
