rat,age,gtyp,sex,stage,variable,value,log_value
20241029b,Adult,fa/+,F,vehicle,excretion_glucose,1.769,0.5704144151776481
20241011b,Adult,fa/+,F,vehicle,excretion_glucose,0.0871,-2.44069839512368
20241014a,Adult,fa/+,F,vehicle,excretion_glucose,0.8184000000000001,-0.20040406434472016
20241011a,Adult,fa/+,F,vehicle,excretion_glucose,1.1542,0.1434074632947289
20241022a,Adult,fa/+,F,vehicle,excretion_glucose,1.6928,0.5263839626818433
20241029c,Adult,fa/+,F,vehicle,excretion_glucose,1.2545,0.22673708682433988
20241014b,Adult,fa/+,M,vehicle,excretion_glucose,0.648,-0.4338645826298623
20241015a,Adult,fa/+,M,vehicle,excretion_glucose,2.146,0.7636056442085067
20241015b,Adult,fa/+,M,vehicle,excretion_glucose,3.193,1.160960913732645
20241023a,Adult,fa/+,M,vehicle,excretion_glucose,1.16,0.14842000511827322
20240816b,Young,fa/+,F,vehicle,excretion_glucose,1.8145,0.5958099476709879
20240815a,Young,fa/+,F,vehicle,excretion_glucose,1.68,0.5187937934151675
20240826a,Young,fa/+,M,vehicle,excretion_glucose,0.387,-0.9493305859523552
20240822b,Young,fa/+,M,vehicle,excretion_glucose,0.714,-0.33687231664255274
20240821b,Young,fa/+,M,vehicle,excretion_glucose,2.211,0.7934449018753091
20240820a,Young,fa/+,M,vehicle,excretion_glucose,1.6198,0.4823026848327524
20241023b,Adult,fa/fa,F,vehicle,excretion_glucose,8.928,2.189192405638955
20241024a,Adult,fa/fa,F,vehicle,excretion_glucose,4.774,1.5631845279166383
20241030a,Adult,fa/fa,F,vehicle,excretion_glucose,15.05,2.711377991194885
20241030b,Adult,fa/fa,F,vehicle,excretion_glucose,17.045,2.8358569055898664
20241025a,Adult,fa/fa,F,vehicle,excretion_glucose,9.009,2.198224077669303
20241022b,Adult,fa/fa,M,vehicle,excretion_glucose,19.158,2.9527203829607
20241021a,Adult,fa/fa,M,vehicle,excretion_glucose,16.709,2.815947496412006
20241029a,Adult,fa/fa,M,vehicle,excretion_glucose,0.3,-1.2039728043259361
20241028a,Adult,fa/fa,M,vehicle,excretion_glucose,16.718,2.8164859832769644
20240815b,Young,fa/fa,F,vehicle,excretion_glucose,16.240000000000002,2.787477334733532
20240816a,Young,fa/fa,F,vehicle,excretion_glucose,11.016,2.399348761426354
20240823a,Young,fa/fa,F,vehicle,excretion_glucose,11.165,2.412783885292121
20240823b,Young,fa/fa,F,vehicle,excretion_glucose,3.103,1.132369385466243
20240813a,Young,fa/fa,M,vehicle,excretion_glucose,4.8950000000000005,1.5882142759824738
20240814a,Young,fa/fa,M,vehicle,excretion_glucose,20.945,3.0418999543989984
20240820b,Young,fa/fa,M,vehicle,excretion_glucose,16.776,2.8199492935996187
20240821a,Young,fa/fa,M,vehicle,excretion_glucose,14.976,2.7064489197352364
