rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,vehicle,excretion_na,0.9045
20241015a,Adult,fa/+,M,vehicle,excretion_na,0.1702
20241015b,Adult,fa/+,M,vehicle,excretion_na,0.4738
20241021a,Adult,fa/fa,M,vehicle,excretion_na,1.8326
20241022a,Adult,fa/+,F,vehicle,excretion_na,0.9292
20241022b,Adult,fa/fa,M,vehicle,excretion_na,1.6068
20241023b,Adult,fa/fa,F,vehicle,excretion_na,1.1997
20241024a,Adult,fa/fa,F,vehicle,excretion_na,0.8316
20241025a,Adult,fa/fa,F,vehicle,excretion_na,1.4742000000000002
20241028a,Adult,fa/fa,M,vehicle,excretion_na,3.215
20241029a,Adult,fa/fa,M,vehicle,excretion_na,0.033
20241029b,Adult,fa/+,F,vehicle,excretion_na,0.305
20241029c,Adult,fa/+,F,vehicle,excretion_na,0.9555
20241030a,Adult,fa/fa,F,vehicle,excretion_na,1.634
20241030b,Adult,fa/fa,F,vehicle,excretion_na,1.2662
20240813a,Young,fa/fa,M,vehicle,excretion_na,0.1157
20240814a,Young,fa/fa,M,vehicle,excretion_na,0.994
20240815b,Young,fa/fa,F,vehicle,excretion_na,1.363
20240816a,Young,fa/fa,F,vehicle,excretion_na,1.8144
20240816b,Young,fa/+,F,vehicle,excretion_na,1.2445
20240820a,Young,fa/+,M,vehicle,excretion_na,1.1375
20240820b,Young,fa/fa,M,vehicle,excretion_na,1.165
20240821a,Young,fa/fa,M,vehicle,excretion_na,1.9552
20240821b,Young,fa/+,M,vehicle,excretion_na,0.3752
20240822b,Young,fa/+,M,vehicle,excretion_na,0.0651
20240823a,Young,fa/fa,F,vehicle,excretion_na,1.7226
20240823b,Young,fa/fa,F,vehicle,excretion_na,0.8131999999999999
20240813a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,-0.0021
20240814a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,2.8026
20240815b,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.1137999999999999
20240816a,Young,fa/fa,F,empa_minus_vehicle,excretion_na,-0.4103999999999996
20240816b,Young,fa/+,F,empa_minus_vehicle,excretion_na,0.3030999999999999
20240820a,Young,fa/+,M,empa_minus_vehicle,excretion_na,-0.3266
20240820b,Young,fa/fa,M,empa_minus_vehicle,excretion_na,0.0905
20240821a,Young,fa/fa,M,empa_minus_vehicle,excretion_na,0.5583
20240821b,Young,fa/+,M,empa_minus_vehicle,excretion_na,-0.1745999999999999
20240822b,Young,fa/+,M,empa_minus_vehicle,excretion_na,0.1504999999999999
20240823a,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.7788000000000004
20240823b,Young,fa/fa,F,empa_minus_vehicle,excretion_na,0.024
20241011b,Adult,fa/+,F,empa_minus_vehicle,excretion_na,-0.131
20241015a,Adult,fa/+,M,empa_minus_vehicle,excretion_na,0.017
20241015b,Adult,fa/+,M,empa_minus_vehicle,excretion_na,-0.1018
20241021a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.0938000000000001
20241022a,Adult,fa/+,F,empa_minus_vehicle,excretion_na,0.0608
20241022b,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,2.8130000000000006
20241023b,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,0.8607
20241024a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,0.3696
20241025a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,1.2416
20241028a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.9962
20241029a,Adult,fa/fa,M,empa_minus_vehicle,excretion_na,0.2105999999999999
20241029b,Adult,fa/+,F,empa_minus_vehicle,excretion_na,0.0853999999999999
20241029c,Adult,fa/+,F,empa_minus_vehicle,excretion_na,-0.0284
20241030a,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,-0.1754
20241030b,Adult,fa/fa,F,empa_minus_vehicle,excretion_na,-0.1892
20240813a,Young,fa/fa,M,empa,excretion_na,0.11359999999999999
20240814a,Young,fa/fa,M,empa,excretion_na,3.7965999999999998
20240815b,Young,fa/fa,F,empa,excretion_na,1.4768
20240816a,Young,fa/fa,F,empa,excretion_na,1.4040000000000004
20240816b,Young,fa/+,F,empa,excretion_na,1.5475999999999999
20240820a,Young,fa/+,M,empa,excretion_na,0.8109
20240820b,Young,fa/fa,M,empa,excretion_na,1.2555
20240821a,Young,fa/fa,M,empa,excretion_na,2.5135
20240821b,Young,fa/+,M,empa,excretion_na,0.20060000000000008
20240822b,Young,fa/+,M,empa,excretion_na,0.2155999999999999
20240823a,Young,fa/fa,F,empa,excretion_na,2.5014000000000003
20240823b,Young,fa/fa,F,empa,excretion_na,0.8371999999999999
20241011b,Adult,fa/+,F,empa,excretion_na,0.7735
20241015a,Adult,fa/+,M,empa,excretion_na,0.18719999999999998
20241015b,Adult,fa/+,M,empa,excretion_na,0.372
20241021a,Adult,fa/fa,M,empa,excretion_na,1.9264000000000001
20241022a,Adult,fa/+,F,empa,excretion_na,0.99
20241022b,Adult,fa/fa,M,empa,excretion_na,4.4198
20241023b,Adult,fa/fa,F,empa,excretion_na,2.0604
20241024a,Adult,fa/fa,F,empa,excretion_na,1.2012
20241025a,Adult,fa/fa,F,empa,excretion_na,2.7158
20241028a,Adult,fa/fa,M,empa,excretion_na,4.2112
20241029a,Adult,fa/fa,M,empa,excretion_na,0.2435999999999999
20241029b,Adult,fa/+,F,empa,excretion_na,0.3903999999999999
20241029c,Adult,fa/+,F,empa,excretion_na,0.9271
20241030a,Adult,fa/fa,F,empa,excretion_na,1.4586
20241030b,Adult,fa/fa,F,empa,excretion_na,1.077
