rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_na,-0.15645663482222905
20241029c,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_na,-0.030173329067390987
20241029b,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_na,0.24686007793152553
20241022a,Adult,fa/+,F,log_empa_minus_log_vehicle,excretion_na,0.0633809422323815
20241015b,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_na,-0.24189143745153852
20241015a,Adult,fa/+,M,log_empa_minus_log_vehicle,excretion_na,0.0952033479042178
20240816b,Young,fa/+,F,log_empa_minus_log_vehicle,excretion_na,0.21797150101871118
20240820a,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_na,-0.3384434088745939
20240821b,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_na,-0.626146341604234
20240822b,Young,fa/+,M,log_empa_minus_log_vehicle,excretion_na,1.197500289820318
20241023b,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.5408286131705479
20241024a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.3677247801253174
20241025a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.6109710995095059
20241030a,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,-0.11355392486981553
20241030b,Adult,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,-0.16184089095363763
20241021a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,0.04991725258338919
20241022b,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,1.0118498226940775
20241028a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,0.2699202850192237
20241029a,Adult,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,1.9990199743692612
20240823a,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.37301579775973315
20240823b,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.029085908817653133
20240816a,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,-0.25642952894767623
20240815b,Young,fa/fa,F,log_empa_minus_log_vehicle,excretion_na,0.08018943205205503
20240814a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,1.3401240016998672
20240821a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,0.2511837141553538
20240820b,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,0.07481281259783876
20240813a,Young,fa/fa,M,log_empa_minus_log_vehicle,excretion_na,-0.018317127912579778
