rat,age,gtyp,sex,stage,variable,value,log_value
20241029c,Adult,fa/+,F,vehicle,excretion_na,0.9555,-0.045520515301809304
20241022a,Adult,fa/+,F,vehicle,excretion_na,0.9292,-0.07343127808588294
20241011b,Adult,fa/+,F,vehicle,excretion_na,0.9045,-0.10037297414678727
20241029b,Adult,fa/+,F,vehicle,excretion_na,0.305,-1.1874435023747254
20241015a,Adult,fa/+,M,vehicle,excretion_na,0.1702,-1.7707810628428633
20241015b,Adult,fa/+,M,vehicle,excretion_na,0.4738,-0.746969987257452
20240816b,Young,fa/+,F,vehicle,excretion_na,1.2445,0.2187338428255096
20240822b,Young,fa/+,M,vehicle,excretion_na,0.0651,-2.7318307297676134
20240821b,Young,fa/+,M,vehicle,excretion_na,0.3752,-0.9802960618500675
20240820a,Young,fa/+,M,vehicle,excretion_na,1.1375,0.12883287184296838
20241023b,Adult,fa/fa,F,vehicle,excretion_na,1.1997,0.1820715255387453
20241030a,Adult,fa/fa,F,vehicle,excretion_na,1.634,0.49103099643781106
20241030b,Adult,fa/fa,F,vehicle,excretion_na,1.2662,0.23602028912788908
20241025a,Adult,fa/fa,F,vehicle,excretion_na,1.4742000000000002,0.3881154697730515
20241024a,Adult,fa/fa,F,vehicle,excretion_na,0.8316,-0.18440372299827917
20241028a,Adult,fa/fa,M,vehicle,excretion_na,3.215,1.1678273576895826
20241029a,Adult,fa/fa,M,vehicle,excretion_na,0.033,-3.4112477175156566
20241021a,Adult,fa/fa,M,vehicle,excretion_na,1.8326,0.6057357235489758
20241022b,Adult,fa/fa,M,vehicle,excretion_na,1.6068,0.47424462350299007
20240815b,Young,fa/fa,F,vehicle,excretion_na,1.363,0.30968815271439554
20240816a,Young,fa/fa,F,vehicle,excretion_na,1.8144,0.5957548345512959
20240823a,Young,fa/fa,F,vehicle,excretion_na,1.7226,0.5438347773729362
20240823b,Young,fa/fa,F,vehicle,excretion_na,0.8131999999999999,-0.20677819722794558
20240813a,Young,fa/fa,M,vehicle,excretion_na,0.1157,-2.1567546447825063
20240814a,Young,fa/fa,M,vehicle,excretion_na,0.994,-0.006018072325563021
20240820b,Young,fa/fa,M,vehicle,excretion_na,1.165,0.15272108701766393
20240821a,Young,fa/fa,M,vehicle,excretion_na,1.9552,0.6704924899951391
