"",rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change,frequency_vehicle_std,frequency_empa_std,frequency_change_std,log_frequency_vehicle,log_frequency_empa,log_frequency_vehicle_std,log_frequency_change
3,20240814a,fa/fa,Young,M,3.0,0.0223457237230997,0.025351382077296,-0.003005658354196302,-0.4183585689974773,-1.6063025495622971,-2.0393422637373586,-3.674922030616658,-3.8011203085287084,-0.3391058150386238,-0.1261982779120503
5,20240814a,fa/fa,Young,M,5.0,0.0253844448151263,0.0294245553116649,-0.0040401104965386014,0.6424559614685117,-0.9310856587537985,-2.41454353840333,-3.5259257385527154,-3.6736187014098385,0.6572020796925823,-0.14769296285712308
37,20240816a,fa/fa,Young,F,0.0,0.0319346126513326,0.0298822152203213,0.0020523974310113005,0.7616486039561735,0.5243897951278158,-0.20475862254121835,-3.510491784239267,-3.444064821325608,0.7604057924588731,0.0664269629136589
41,20240816a,fa/fa,Young,F,5.0,0.0322131346263147,0.0297803487151461,0.0024327859111685987,0.7351185590403738,0.5862785753988052,-0.0667897047137533,-3.5139065420854267,-3.435381001953958,0.7375720014054398,0.07852554013146884
42,20240816a,fa/fa,Young,F,6.0,0.0301538551667375,0.0290949529624388,0.0010589022042987,0.5566145446624454,0.12869782616518957,-0.5651046068349798,-3.53719055756363,-3.501442497756349,0.5818765265675685,0.03574805980728124
43,20240816a,fa/fa,Young,F,7.0,0.0299286398671612,0.0291768822790677,0.0007517575880934997,0.5779521614418491,0.07865401834701492,-0.6765075870115616,-3.534378586041704,-3.5089394019469493,0.6006796080956124,0.02543918409475454
44,20240816a,fa/fa,Young,F,8.0,0.0297853308497176,0.0288626563621659,0.0009226744875517022,0.4961153724524219,0.04681013855265263,-0.6145151217115542,-3.5452066868310217,-3.513739260032422,0.5282743008768744,0.03146742679859971
46,20240816a,fa/fa,Young,F,10.0,0.0294742056450905,0.0286037508808506,0.0008704547642399002,0.4286862009457717,-0.02232321951423135,-0.6334554921234018,-3.5542174200756067,-3.5242397830460197,0.4680213607228722,0.029977637029587
47,20240816a,fa/fa,Young,F,11.0,0.0298915289153659,0.0291322458806593,0.0007592830347066017,0.5663270875020129,0.07040780530959072,-0.6737780676398164,-3.5359096124362424,-3.510180152593813,0.5904419460518755,0.025729459842429137
48,20240816a,fa/fa,Young,F,12.0,0.0299179270806384,0.029275693623445,0.0006422334571934002,0.6036865223096499,0.07627359112491772,-0.7162325697713751,-3.530997676407733,-3.5092974103401984,0.6232870630398755,0.021700266067534724
49,20240816a,fa/fa,Young,F,13.0,0.0299602837202563,0.028842398577857,0.0011178851423992997,0.4908394485686554,0.08568541854894134,-0.5437111825739218,-3.545908801582048,-3.507882650409457,0.5235794023678924,0.03802615117259123
51,20240816a,fa/fa,Young,F,15.0,0.029685688564686,0.0286043956087264,0.0010812929559596007,0.42885411344531205,0.024669194433552845,-0.5569833625356767,-3.5541948803530183,-3.517090215817347,0.46817207926256715,0.037104664535671184
52,20240816a,fa/fa,Young,F,16.0,0.0296423876988641,0.0289778636902873,0.0006645240085768021,0.5261198924311261,0.015047555887555191,-0.7081476686437864,-3.541223061498069,-3.518549925156924,0.554911993089838,0.02267313634114476
53,20240816a,fa/fa,Young,F,18.0,0.0242688412542224,0.0233863122495047,0.0008825290047176984,-0.9301400491250459,-1.178977566222688,-0.6290761011081388,-3.755604374368853,-3.7185620043379837,-0.8786122345086563,0.03704237003086952
56,20240816a,fa/fa,Young,F,21.0,0.0260381128354484,0.025249139038725,0.0007889737967234009,-0.4449866780206672,-0.7858378143692135,-0.6630090708940772,-3.678963221318338,-3.648193936024947,-0.3661284351617472,0.030769285293390958
58,20240816a,fa/fa,Young,F,26.0,0.024496615401867,0.023248538143398,0.0012480772584689999,-0.9660218457662327,-1.1283651713626606,-0.4964898120519322,-3.761513024478296,-3.709220317837184,-0.918122175794417,0.052292706641112296
59,20240816a,fa/fa,Young,F,27.0,0.0245144037879596,0.0231627468438922,0.0013516569440674003,-0.9883652747997425,-1.1244125154965259,-0.4589209111088467,-3.765210030378672,-3.7084944244700293,-0.9428433021687013,0.056715605908642885
60,20240816a,fa/fa,Young,F,28.0,0.0248836330442179,0.0238788082094552,0.0010048248347626978,-0.8018747285874982,-1.0423681873545207,-0.5847187553779453,-3.7347638991799057,-3.6935449990938634,-0.7392562164958898,0.04121890008604234
63,20240816b,fa/+,Young,F,1.0,0.0245189098243634,0.0220835698927151,0.0024353399316482983,-1.2694254028328262,-1.123411254835116,-0.06586334794935383,-3.8129213907183415,-3.708310629572866,-1.2618794628429402,0.10461076114547563
64,20240816b,fa/+,Young,F,2.0,0.0260376824254659,0.0220719781544206,0.003965704271045301,-1.2724443474513383,-0.7859334533177561,0.4892079089431688,-3.813446431809369,-3.648210466160698,-1.2653903058095863,0.16523596564867082
68,20240816b,fa/+,Young,F,7.0,0.0243193068344718,0.021497903817948,0.0028214030165238,-1.4219558861600798,-1.1677638973281461,0.0741637790850393,-3.8397998454412736,-3.7164847241624046,-1.4416102216939062,0.12331512127886901
71,20240816b,fa/+,Young,F,10.0,0.0243362441679623,0.0225910672376266,0.001745176930335702,-1.1372531315647125,-1.1640003490090685,-0.3161891264174044,-3.790200705810007,-3.7157885103152406,-1.1099508649275023,0.0744121954947663
72,20240816b,fa/+,Young,F,11.0,0.0249917064361237,0.0229022759277819,0.002089430508341799,-1.0562021471041454,-1.0183538150407079,-0.19132652911663078,-3.7765189878676946,-3.6892112517077225,-1.0184640003177343,0.08730773615997212
73,20240816b,fa/+,Young,F,12.0,0.0250231185653478,0.0215200128647014,0.0035031057006464014,-1.416197820715463,-1.0113739048791515,0.32142095566825357,-3.8387719458866223,-3.6879551388110605,-1.4347368664774534,0.15081680707556178
74,20240816b,fa/+,Young,F,13.0,0.0238144327972297,0.0216041399967749,0.002210292800454799,-1.3942878063421538,-1.279949078972833,-0.1474891351921828,-3.8348703161403415,-3.737463462051377,-1.4086474620722118,0.09740685408896432
77,20240816b,fa/+,Young,F,17.0,0.0264229786584308,0.0242663655492203,0.0021566131092105,-0.7009395525575348,-0.7003189738759199,-0.1669590437110364,-3.7186640212105715,-3.6335212436830893,-0.6315996077114724,0.08514277752748223
78,20240816b,fa/+,Young,F,18.0,0.0256513383037612,0.0224276387564325,0.0032236995473286997,-1.179816336605892,-0.8717807781426913,0.22007886299594878,-3.7974612076618905,-3.663159533141225,-1.1585003638079028,0.13430167452066533
79,20240816b,fa/+,Young,F,19.0,0.0262488345462183,0.0236229454829966,0.002625889063221698,-0.868511447041233,-0.7390145442950895,0.0032498319904640735,-3.7455367730665743,-3.640133689169438,-0.8112922326514153,0.10540308389713626
80,20240816b,fa/+,Young,F,20.0,0.0239972340108029,0.0215662895979526,0.0024309444128503,-1.4041455390591984,-1.239329863412448,-0.06745762591381622,-3.836623850162422,-3.72981670482581,-1.4203729873566193,0.10680714533661195
81,20240816b,fa/+,Young,F,22.0,0.0260763145353685,0.0236939558351602,0.0023823587002082987,-0.8500175581113344,-0.7773492324090818,-0.08507992139532278,-3.7425352914185477,-3.6467278657373194,-0.7912219354621646,0.09580742568122824
82,20240816b,fa/+,Young,F,23.0,0.026043600349996,0.0237066963046153,0.0023369040453807,-0.8466994387127071,-0.7846184650446506,-0.1015665656128118,-3.7419977262506956,-3.647983208910485,-0.7876273465415645,0.09401451734021071
85,20240816b,fa/+,Young,F,28.0,0.0263806540419284,0.0238721583534356,0.0025084956884928004,-0.8036066126703002,-0.7097236856260041,-0.039329367213366835,-3.7350424215446343,-3.6351243389021923,-0.7411186388890538,0.09991808264244195
88,20240820a,fa/+,Young,M,2.0,0.0300214772407806,0.025614028418324,0.004407448822456601,-0.349955130473116,0.0992828818944465,0.6494309990041327,-3.66461509249484,-3.5058422454338714,-0.2701854165573899,0.15877284706096884
91,20240820a,fa/+,Young,M,6.0,0.0304854182758155,0.0252801094831699,0.005205308792645601,-0.4369207560498259,0.20237257446831108,0.9388190388819693,-3.677737378891264,-3.490506799007432,-0.3579314762249044,0.18723057988383207
92,20240820a,fa/+,Young,M,7.0,0.0323972510905416,0.0283545989900318,0.004042652100509796,0.3637972480666019,0.6271900453090066,0.5171172945165661,-3.5629660400943104,-3.429681702667733,0.4095211183886718,0.13328433742657753
93,20240820a,fa/+,Young,M,8.0,0.0325127533304217,0.0278976322055314,0.004615121124890303,0.24478512237353522,0.6528551395810344,0.7247548437684842,-3.579213460941495,-3.4261228564523574,0.30087792039470146,0.15309060448913758
94,20240820a,fa/+,Young,M,9.0,0.0294342333480817,0.0255911795351138,0.0038430538129679004,-0.35590587843290855,-0.031205235759676563,0.4447219377460802,-3.665507536277023,-3.525596882430311,-0.2761530065791001,0.13991065384671186
95,20240820a,fa/+,Young,M,10.0,0.0270711635526404,0.0262901284687629,0.0007810350838775015,-0.1738720826168178,-0.5562895036867513,-0.6658884841187859,-3.6385617536504267,-3.609286193175116,-0.09597203973283973,0.02927556047531077
96,20240820a,fa/+,Young,M,11.0,0.0305500060125614,0.0280008215375497,0.0025491844750116996,0.2716596834333116,0.2167242472507712,-0.02457132869073899,-3.575521428610586,-3.4883903965540317,0.325565789521733,0.08713103205655415
98,20240820a,fa/+,Young,M,13.0,0.0284000453645755,0.0259668423321116,0.0024332030324639015,-0.2580685092171338,-0.2610062519065227,-0.06663841260918715,-3.650934849760037,-3.5613645364720448,-0.17870841636013368,0.08957031328799214
99,20240820a,fa/+,Young,M,15.0,0.0321044268789475,0.0282083764767914,0.003896050402156105,0.325715153885624,0.5621232465742304,0.46394408152871985,-3.568136306961084,-3.438761349353259,0.37494859563741334,0.12937495760782491
100,20240820a,fa/+,Young,M,16.0,0.0281908545649927,0.0266838194144834,0.0015070351505092998,-0.07133947432771506,-0.3074893469331347,-0.4025644121215573,-3.6236979117157277,-3.568757659842632,0.0034194475346550537,0.054940251873095924
101,20240820a,fa/+,Young,M,17.0,0.028183307534519,0.0268345437528828,0.0013487637816361996,-0.03208492779386745,-0.3091663295508089,-0.4599702764565218,-3.618065275440015,-3.5690254076986605,0.04108374046372841,0.04903986774135438
