rat,age,gtyp,sex,stage,variable,value
20241011a,Adult,fa/+,F,vehicle,plasma_na,104.0
20241011b,Adult,fa/+,F,vehicle,plasma_na,104.0
20241014a,Adult,fa/+,F,vehicle,plasma_na,108.0
20241014b,Adult,fa/+,M,vehicle,plasma_na,108.0
20241015a,Adult,fa/+,M,vehicle,plasma_na,100.0
20241015b,Adult,fa/+,M,vehicle,plasma_na,104.0
20241021a,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241022a,Adult,fa/+,F,vehicle,plasma_na,108.0
20241022b,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241023a,Adult,fa/+,M,vehicle,plasma_na,104.0
20241023b,Adult,fa/fa,F,vehicle,plasma_na,112.0
20241024a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241025a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241028a,Adult,fa/fa,M,vehicle,plasma_na,112.0
20241029a,Adult,fa/fa,M,vehicle,plasma_na,96.0
20241029b,Adult,fa/+,F,vehicle,plasma_na,120.0
20241029c,Adult,fa/+,F,vehicle,plasma_na,108.0
20241030a,Adult,fa/fa,F,vehicle,plasma_na,104.0
20241030b,Adult,fa/fa,F,vehicle,plasma_na,84.0
20240813a,Young,fa/fa,M,vehicle,plasma_na,108.0
20240814a,Young,fa/fa,M,vehicle,plasma_na,108.0
20240815a,Young,fa/+,F,vehicle,plasma_na,104.0
20240815b,Young,fa/fa,F,vehicle,plasma_na,108.0
20240816a,Young,fa/fa,F,vehicle,plasma_na,116.0
20240816b,Young,fa/+,F,vehicle,plasma_na,108.0
20240820a,Young,fa/+,M,vehicle,plasma_na,112.0
20240820b,Young,fa/fa,M,vehicle,plasma_na,116.0
20240821a,Young,fa/fa,M,vehicle,plasma_na,92.0
20240821b,Young,fa/+,M,vehicle,plasma_na,104.0
20240822b,Young,fa/+,M,vehicle,plasma_na,108.0
20240823a,Young,fa/fa,F,vehicle,plasma_na,88.0
20240823b,Young,fa/fa,F,vehicle,plasma_na,96.0
20240826a,Young,fa/+,M,vehicle,plasma_na,100.0
20241021b,Adult,fa/+,F,vehicle,plasma_na,112.0
20240826b,Young,fa/+,F,vehicle,plasma_na,112.0
20240813a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,12.0
20240814a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,12.0
20240815a,Young,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20240816a,Young,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20240816b,Young,fa/+,F,empa_minus_vehicle,plasma_na,12.0
20240820a,Young,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20240820b,Young,fa/fa,M,empa_minus_vehicle,plasma_na,-4.0
20240821a,Young,fa/fa,M,empa_minus_vehicle,plasma_na,28.0
20240821b,Young,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20240822b,Young,fa/+,M,empa_minus_vehicle,plasma_na,0.0
20240823a,Young,fa/fa,F,empa_minus_vehicle,plasma_na,24.0
20240823b,Young,fa/fa,F,empa_minus_vehicle,plasma_na,4.0
20240826a,Young,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20241011a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,0.0
20241011b,Adult,fa/+,F,empa_minus_vehicle,plasma_na,16.0
20241014a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20241014b,Adult,fa/+,M,empa_minus_vehicle,plasma_na,8.0
20241015a,Adult,fa/+,M,empa_minus_vehicle,plasma_na,16.0
20241015b,Adult,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20241021a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,8.0
20241022a,Adult,fa/+,F,empa_minus_vehicle,plasma_na,8.0
20241022b,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,-4.0
20241023a,Adult,fa/+,M,empa_minus_vehicle,plasma_na,12.0
20241023b,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,12.0
20241024a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20241025a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,8.0
20241028a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,8.0
20241029a,Adult,fa/fa,M,empa_minus_vehicle,plasma_na,20.0
20241029b,Adult,fa/+,F,empa_minus_vehicle,plasma_na,-12.0
20241029c,Adult,fa/+,F,empa_minus_vehicle,plasma_na,4.0
20241030a,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,24.0
20241030b,Adult,fa/fa,F,empa_minus_vehicle,plasma_na,28.0
