rat,age,gtyp,sex,stage,variable,value
20241011b,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.14310084364067333
20241021b,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.03509131981127034
20241029c,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.036367644170874236
20241029b,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,-0.10536051565782589
20241022a,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.07145896398214457
20241014a,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.036367644170874236
20241011a,Adult,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.0
20241023a,Adult,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.109199291964992
20241015b,Adult,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.109199291964992
20241015a,Adult,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.1484200051182727
20241014b,Adult,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.07145896398214457
20240815a,Young,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.03774032798284743
20240826b,Young,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.10178269430994291
20240816b,Young,fa/+,F,log_empa_minus_log_vehicle,plasma_na,0.10536051565782589
20240821b,Young,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.109199291964992
20240826a,Young,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.07696104113612812
20240822b,Young,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.0
20240820a,Young,fa/+,M,log_empa_minus_log_vehicle,plasma_na,0.06899287148695166
20241023b,Adult,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.10178269430994291
20241024a,Adult,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.07410797215372167
20241025a,Adult,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.07410797215372167
20241030a,Adult,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.2076393647782444
20241030b,Adult,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.2876820724517808
20241021a,Adult,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.06899287148695166
20241022b,Adult,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,-0.036367644170874236
20241028a,Adult,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.06899287148695166
20241029a,Adult,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.1892419996385284
20240823b,Young,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.0408219945202557
20240823a,Young,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.2411620568168873
20240816a,Young,fa/fa,F,log_empa_minus_log_vehicle,plasma_na,0.06669137449867257
20240814a,Young,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.10536051565782589
20240813a,Young,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.10536051565782589
20240821a,Young,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,0.26570316573300534
20240820b,Young,fa/fa,M,log_empa_minus_log_vehicle,plasma_na,-0.03509131981127034
