rat,age,gtyp,sex,stage,variable,value,log_value
20241029b,Adult,fa/+,F,vehicle,plasma_na,120.0,4.787491742782046
20241011b,Adult,fa/+,F,vehicle,plasma_na,104.0,4.6443908991413725
20241014a,Adult,fa/+,F,vehicle,plasma_na,108.0,4.68213122712422
20241021b,Adult,fa/+,F,vehicle,plasma_na,112.0,4.718498871295094
20241022a,Adult,fa/+,F,vehicle,plasma_na,108.0,4.68213122712422
20241011a,Adult,fa/+,F,vehicle,plasma_na,104.0,4.6443908991413725
20241029c,Adult,fa/+,F,vehicle,plasma_na,108.0,4.68213122712422
20241014b,Adult,fa/+,M,vehicle,plasma_na,108.0,4.68213122712422
20241015a,Adult,fa/+,M,vehicle,plasma_na,100.0,4.605170185988092
20241015b,Adult,fa/+,M,vehicle,plasma_na,104.0,4.6443908991413725
20241023a,Adult,fa/+,M,vehicle,plasma_na,104.0,4.6443908991413725
20240816b,Young,fa/+,F,vehicle,plasma_na,108.0,4.68213122712422
20240826b,Young,fa/+,F,vehicle,plasma_na,112.0,4.718498871295094
20240815a,Young,fa/+,F,vehicle,plasma_na,104.0,4.6443908991413725
20240821b,Young,fa/+,M,vehicle,plasma_na,104.0,4.6443908991413725
20240826a,Young,fa/+,M,vehicle,plasma_na,100.0,4.605170185988092
20240820a,Young,fa/+,M,vehicle,plasma_na,112.0,4.718498871295094
20240822b,Young,fa/+,M,vehicle,plasma_na,108.0,4.68213122712422
20241024a,Adult,fa/fa,F,vehicle,plasma_na,104.0,4.6443908991413725
20241025a,Adult,fa/fa,F,vehicle,plasma_na,104.0,4.6443908991413725
20241030a,Adult,fa/fa,F,vehicle,plasma_na,104.0,4.6443908991413725
20241030b,Adult,fa/fa,F,vehicle,plasma_na,84.0,4.430816798843313
20241023b,Adult,fa/fa,F,vehicle,plasma_na,112.0,4.718498871295094
20241028a,Adult,fa/fa,M,vehicle,plasma_na,112.0,4.718498871295094
20241029a,Adult,fa/fa,M,vehicle,plasma_na,96.0,4.564348191467836
20241022b,Adult,fa/fa,M,vehicle,plasma_na,112.0,4.718498871295094
20241021a,Adult,fa/fa,M,vehicle,plasma_na,112.0,4.718498871295094
20240815b,Young,fa/fa,F,vehicle,plasma_na,108.0,4.68213122712422
20240823a,Young,fa/fa,F,vehicle,plasma_na,88.0,4.477336814478207
20240823b,Young,fa/fa,F,vehicle,plasma_na,96.0,4.564348191467836
20240816a,Young,fa/fa,F,vehicle,plasma_na,116.0,4.7535901911063645
20240821a,Young,fa/fa,M,vehicle,plasma_na,92.0,4.5217885770490405
20240813a,Young,fa/fa,M,vehicle,plasma_na,108.0,4.68213122712422
20240820b,Young,fa/fa,M,vehicle,plasma_na,116.0,4.7535901911063645
20240814a,Young,fa/fa,M,vehicle,plasma_na,108.0,4.68213122712422
