"",rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change,power_vehicle_std,power_empa_std,power_change_std,log_power_vehicle,log_power_empa,log_power_vehicle_std,log_power_change
0,20240813a,fa/fa,Young,M,0,3.1737661636792702,3.830591216937096,0.8285316766890577,-0.6568250532578257,-0.7901699637340256,-0.6114914762035745,0.6499367989795448,1.343019156015079,1.1549189469514767,-1.3760036692939466,-0.18810020906360236
1,20240813a,fa/fa,Young,M,1,2.802006914065435,3.431949715067661,0.8164475434367467,-0.6299428010022261,-0.8137584120308154,-0.6570774729364554,0.6520249803734778,1.2331285297315653,1.0303359154583216,-1.5077354796887947,-0.2027926142732437
2,20240813a,fa/fa,Young,M,2,1.7742028683424005,2.6257871352854973,0.6756841956076894,-0.8515842669430969,-0.8614607316408459,-0.783109231175265,0.6348081348167466,0.9653807121553863,0.573351233799244,-1.8286992045435606,-0.3920294783561423
3,20240813a,fa/fa,Young,M,3,2.101025347526257,2.320360045157009,0.9054738517461799,-0.2193346976307522,-0.8795334889682916,-0.7430334873066641,0.683920529656548,0.8417223655152261,0.7424254862956837,-1.9769351226037153,-0.09929687921954233
4,20240813a,fa/fa,Young,M,4,2.705516824355493,3.107429114697875,0.8706608339217229,-0.40191229034238196,-0.8329609721435182,-0.668909315503498,0.6697381193278124,1.1337957331040578,0.9952929566566246,-1.6268110512263094,-0.13850277644743314
5,20240813a,fa/fa,Young,M,5,2.769083797931672,4.072941921896615,0.6798731361831485,-1.3038581239649432,-0.7758295675464241,-0.6611145831524594,0.599676039328037,1.4043655692708754,1.018516506617035,-1.30246442074542,-0.38584906265384045
6,20240813a,fa/fa,Young,M,6,1.231640406526052,1.6062383099663136,0.7667856001715476,-0.37459790344026156,-0.9217895600225213,-0.8496395209728573,0.6718598684273066,0.4738949917929255,0.20834694468694379,-2.417869599837561,-0.2655480471059817
7,20240813a,fa/fa,Young,M,7,4.719781348338493,4.569020863423689,1.0329962347341604,0.15076048491480432,-0.7464755429191281,-0.4219154448605282,0.7126690834171377,1.5192989288704877,1.5517624740198945,-1.164687614416576,0.03246354514940686
8,20240813a,fa/fa,Young,M,8,1.9457335426257207,3.207580540426473,0.6066047346599192,-1.2618469978007523,-0.8270348036021841,-0.7620757349930161,0.602939413659924,1.165516927224039,0.6656390487081231,-1.5887851479201376,-0.49987787851591603
10,20240813a,fa/fa,Young,M,10,2.645545886113093,2.499974851575802,1.0582289995619492,0.14557103453729114,-0.8689053066172848,-0.6762630935133946,0.7122659730817378,0.91628067245388,0.9728774281797212,-1.8875580657502575,0.05659675572584122
11,20240813a,fa/fa,Young,M,11,1.7870351397074191,3.265209072429124,0.5472957780243977,-1.478173932721705,-0.8236248032856348,-0.7815357077696501,0.5861353945541818,1.183323795112925,0.580557900061974,-1.5674390966344445,-0.6027658950509509
12,20240813a,fa/fa,Young,M,12,2.031012571774997,1.6879533579346817,1.2032397472522998,0.34305921384031546,-0.9169543103683022,-0.7516186191358576,0.7276066200491571,0.5235167642367236,0.7085344725224663,-2.3583853095018403,0.1850177082857427
13,20240813a,fa/fa,Young,M,13,3.969791747056521,4.657812380493025,0.8522867438117638,-0.6880206334365044,-0.7412215638432876,-0.5138809401353561,0.6475135634008187,1.538545891667036,1.3787136366623742,-1.1416152438282943,-0.1598322550046618
14,20240813a,fa/fa,Young,M,14,3.490486910709967,2.990615342450873,1.1671467276862957,0.4998715682590942,-0.8398730864469203,-0.5726544305769371,0.7397876173005278,1.0954791663794428,1.2500412424456302,-1.6727431827779684,0.15456207606618744
16,20240814a,fa/fa,Young,M,0,3.632953886169096,7.130074055312317,0.5095254071677328,-3.497120169143221,-0.5949326892049659,-0.5551847937499598,0.42930605130716487,1.964321620811581,1.2900460601139427,-0.6312149529273037,-0.6742755606976383
17,20240814a,fa/fa,Young,M,1,3.512815886439539,9.426712645671657,0.3726448464568901,-5.913896759232118,-0.4590357984119768,-0.5699163988649779,0.24157371918216278,2.2435474298948654,1.2564179626986478,-0.2964919416614589,-0.9871294671962176
18,20240814a,fa/fa,Young,M,2,4.24076120892941,6.304042171066833,0.6727050825251294,-2.063280962137423,-0.6438107169608575,-0.4806540250916037,0.5406849761640797,1.8411910421059872,1.444742783538091,-0.7788182071485116,-0.3964482585678961
19,20240814a,fa/fa,Young,M,3,7.131019697663534,10.568017865624151,0.6747736224840658,-3.436998167960617,-0.3915023904615839,-0.12624370668936843,0.4339762568778077,2.357832257758352,1.964454239300595,-0.15949256524258684,-0.3933780184577571
20,20240814a,fa/fa,Young,M,4,5.06375612079768,10.52027987544927,0.4813328334177451,-5.456523754651591,-0.3943271468097116,-0.3797364463021708,0.27710191039066967,2.353304811085839,1.6221085242820317,-0.16491985933314537,-0.7311962868038073
