rat,age,gtyp,sex,stage,variable,value
20241029c,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.6697998165629544
20241029b,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.6931471805599454
20241022a,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.67116827384117
20241011a,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.7993693938152528
20241011b,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.5744308737205632
20241014a,Adult,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.715620036412004
20241014b,Adult,fa/+,M,log_empa_minus_log_vehicle,urine_flow,1.5755363607584192
20241023a,Adult,fa/+,M,log_empa_minus_log_vehicle,urine_flow,1.4048707466928263
20241015b,Adult,fa/+,M,log_empa_minus_log_vehicle,urine_flow,0.4086961286896109
20241015a,Adult,fa/+,M,log_empa_minus_log_vehicle,urine_flow,0.6657482063718305
20240826b,Young,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.44839015282519856
20240815a,Young,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.30538164955118163
20240816b,Young,fa/+,F,log_empa_minus_log_vehicle,urine_flow,0.4297297301077956
20240820a,Young,fa/+,M,log_empa_minus_log_vehicle,urine_flow,0.5580446957033818
20240821b,Young,fa/+,M,log_empa_minus_log_vehicle,urine_flow,-0.12715517548524669
20240822b,Young,fa/+,M,log_empa_minus_log_vehicle,urine_flow,1.2992829841302609
20240826a,Young,fa/+,M,log_empa_minus_log_vehicle,urine_flow,1.3581234841531942
20241023b,Adult,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.37020309613978464
20241024a,Adult,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.6190392084062233
20241025a,Adult,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.29589005286961045
20241030a,Adult,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.027524673390090015
20241030b,Adult,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,-0.30494173459431106
20241021a,Adult,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,0.11054187439982455
20241022b,Adult,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,0.37812606260493276
20241028a,Adult,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,0.15659159971222003
20241029a,Adult,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,2.163323025660538
20240823b,Young,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.5311778526148894
20240823a,Young,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.17234510229758193
20240816a,Young,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,0.08004270767353638
20240815b,Young,fa/fa,F,log_empa_minus_log_vehicle,urine_flow,-0.020906684819313792
20240814a,Young,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,0.26560926461081813
20240821a,Young,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,0.09399813063294138
20240813a,Young,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,-0.2259564926908244
20240820b,Young,fa/fa,M,log_empa_minus_log_vehicle,urine_flow,-0.002148228538289665
