rat,age,gtyp,sex,stage,variable,value,log_value
20241029b,Adult,fa/+,F,vehicle,urine_flow,6.1,1.8082887711792655
20241011b,Adult,fa/+,F,vehicle,urine_flow,6.7,1.9021075263969205
20241014a,Adult,fa/+,F,vehicle,urine_flow,4.4,1.4816045409242156
20241011a,Adult,fa/+,F,vehicle,urine_flow,5.8,1.7578579175523736
20241022a,Adult,fa/+,F,vehicle,urine_flow,9.2,2.2192034840549946
20241029c,Adult,fa/+,F,vehicle,urine_flow,6.5,1.8718021769015913
20241014b,Adult,fa/+,M,vehicle,urine_flow,1.8,0.5877866649021191
20241015a,Adult,fa/+,M,vehicle,urine_flow,7.4,2.0014800002101243
20241015b,Adult,fa/+,M,vehicle,urine_flow,10.3,2.33214389523559
20241023a,Adult,fa/+,M,vehicle,urine_flow,4.0,1.3862943611198906
20240816b,Young,fa/+,F,vehicle,urine_flow,9.5,2.2512917986064953
20240815a,Young,fa/+,F,vehicle,urine_flow,5.6,1.7227665977411035
20240826b,Young,fa/+,F,vehicle,urine_flow,7.6,2.028148247292285
20240826a,Young,fa/+,M,vehicle,urine_flow,1.8,0.5877866649021191
20240822b,Young,fa/+,M,vehicle,urine_flow,2.1,0.7419373447293773
20240821b,Young,fa/+,M,vehicle,urine_flow,6.7,1.9021075263969205
20240820a,Young,fa/+,M,vehicle,urine_flow,9.1,2.2082744135228043
20241023b,Adult,fa/fa,F,vehicle,urine_flow,27.9,3.32862668882732
20241030a,Adult,fa/fa,F,vehicle,urine_flow,43.0,3.7612001156935624
20241030b,Adult,fa/fa,F,vehicle,urine_flow,48.7,3.885679030088544
20241025a,Adult,fa/fa,F,vehicle,urine_flow,27.3,3.3068867021909143
20241024a,Adult,fa/fa,F,vehicle,urine_flow,15.4,2.7343675094195836
20241022b,Adult,fa/fa,M,vehicle,urine_flow,61.8,4.123903364463645
20241021a,Adult,fa/fa,M,vehicle,urine_flow,53.9,3.9871304779149512
20241029a,Adult,fa/fa,M,vehicle,urine_flow,1.0,0.0
20241028a,Adult,fa/fa,M,vehicle,urine_flow,64.3,4.163559631243574
20240815b,Young,fa/fa,F,vehicle,urine_flow,29.0,3.367295829986474
20240816a,Young,fa/fa,F,vehicle,urine_flow,32.4,3.4781584227982836
20240823a,Young,fa/fa,F,vehicle,urine_flow,31.9,3.462606009790799
20240823b,Young,fa/fa,F,vehicle,urine_flow,10.7,2.3702437414678603
20240813a,Young,fa/fa,M,vehicle,urine_flow,8.9,2.186051276738094
20240814a,Young,fa/fa,M,vehicle,urine_flow,35.5,3.56953269648137
20240820b,Young,fa/fa,M,vehicle,urine_flow,46.6,3.8416005411316
20240821a,Young,fa/fa,M,vehicle,urine_flow,41.6,3.728100167267218
