,rat,gtyp,age,sex,excretion_glucose_change,excretion_na_change,plasma_na_change,urine_flow_change
0,20240813a,fa/fa,Young,M,-1.8420000000000003,-0.0021,12.0,-1.8000000000000007
1,20240814a,fa/fa,Young,M,1.279,2.8026,12.0,10.799999999999995
2,20240815a,fa/+,Young,F,1.0560000000000005,,4.0,2.0
3,20240815b,fa/fa,Young,F,-2.040000000000001,0.1137999999999999,,-0.6000000000000014
4,20240816a,fa/fa,Young,F,1.269,-0.4103999999999996,8.0,2.700000000000003
5,20240816b,fa/+,Young,F,1.9815000000000005,0.3030999999999999,12.0,5.1
6,20240820a,fa/+,Young,M,3.7862,-0.3266,8.0,6.800000000000001
7,20240820b,fa/fa,Young,M,,0.0905,-4.0,-0.1000000000000014
8,20240821a,fa/fa,Young,M,1.019000000000002,0.5583,28.0,4.100000000000001
9,20240821b,fa/+,Young,M,-0.1459999999999999,-0.1745999999999999,12.0,-0.7999999999999998
10,20240822b,fa/+,Young,M,2.289,0.1504999999999999,0.0,5.6
11,20240823a,fa/fa,Young,F,1.3419999999999987,0.7788000000000004,24.0,6.0
12,20240823b,fa/fa,Young,F,2.903,0.024,4.0,7.5
13,20240826a,fa/+,Young,M,2.133,,8.0,5.2
14,20241011a,fa/+,Adult,F,2.8448,,0.0,7.1000000000000005
15,20241011b,fa/+,Adult,F,3.3639,-0.131,16.0,5.2
16,20241014a,fa/+,Adult,F,2.1516,,4.0,4.6
17,20241014b,fa/+,Adult,M,2.397,,8.0,6.9
18,20241015a,fa/+,Adult,M,2.4620000000000006,0.017,16.0,7.0
19,20241015b,fa/+,Adult,M,1.922,-0.1018,12.0,5.199999999999999
20,20241021a,fa/fa,Adult,M,1.0500000000000007,0.0938000000000001,8.0,6.300000000000004
21,20241022a,fa/+,Adult,F,3.1672,0.0608,8.0,8.8
22,20241022b,fa/fa,Adult,M,7.902000000000001,2.8130000000000006,-4.0,28.40000000000001
23,20241023a,fa/+,Adult,M,4.219,,12.0,12.3
24,20241023b,fa/fa,Adult,F,3.596,0.8607,12.0,12.5
25,20241024a,fa/fa,Adult,F,3.5200000000000005,0.3696,8.0,13.2
26,20241024b,fa/+,Adult,M,,,,
27,20241025a,fa/fa,Adult,F,2.0009999999999994,1.2416,8.0,9.400000000000002
28,20241028a,fa/fa,Adult,M,4.338000000000001,0.9962,8.0,10.900000000000006
29,20241029a,fa/fa,Adult,M,2.571,0.2105999999999999,20.0,7.699999999999999
30,20241029b,fa/+,Adult,F,1.891,0.0853999999999999,-12.0,6.1
31,20241029c,fa/+,Adult,F,2.6825,-0.0284,4.0,6.199999999999999
32,20241030a,fa/fa,Adult,F,-0.4639999999999986,-0.1754,24.0,1.2000000000000028
33,20241030b,fa/fa,Adult,F,-4.839000000000002,-0.1892,28.0,-12.800000000000004
34,20240826b,fa/+,Young,F,,,12.0,4.300000000000001
35,20241021b,fa/+,Adult,F,,,4.0,
