,rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change
3,20240814a,fa/fa,Young,M,3.0,0.0223457237230997,0.025351382077296,-0.003005658354196302
5,20240814a,fa/fa,Young,M,5.0,0.0253844448151263,0.0294245553116649,-0.0040401104965386014
37,20240816a,fa/fa,Young,F,0.0,0.0319346126513326,0.0298822152203213,0.0020523974310113005
41,20240816a,fa/fa,Young,F,5.0,0.0322131346263147,0.0297803487151461,0.0024327859111685987
42,20240816a,fa/fa,Young,F,6.0,0.0301538551667375,0.0290949529624388,0.0010589022042987
43,20240816a,fa/fa,Young,F,7.0,0.0299286398671612,0.0291768822790677,0.0007517575880934997
44,20240816a,fa/fa,Young,F,8.0,0.0297853308497176,0.0288626563621659,0.0009226744875517022
46,20240816a,fa/fa,Young,F,10.0,0.0294742056450905,0.0286037508808506,0.0008704547642399002
47,20240816a,fa/fa,Young,F,11.0,0.0298915289153659,0.0291322458806593,0.0007592830347066017
48,20240816a,fa/fa,Young,F,12.0,0.0299179270806384,0.029275693623445,0.0006422334571934002
49,20240816a,fa/fa,Young,F,13.0,0.0299602837202563,0.028842398577857,0.0011178851423992997
51,20240816a,fa/fa,Young,F,15.0,0.029685688564686,0.0286043956087264,0.0010812929559596007
52,20240816a,fa/fa,Young,F,16.0,0.0296423876988641,0.0289778636902873,0.0006645240085768021
53,20240816a,fa/fa,Young,F,18.0,0.0242688412542224,0.0233863122495047,0.0008825290047176984
56,20240816a,fa/fa,Young,F,21.0,0.0260381128354484,0.025249139038725,0.0007889737967234009
58,20240816a,fa/fa,Young,F,26.0,0.024496615401867,0.023248538143398,0.0012480772584689999
59,20240816a,fa/fa,Young,F,27.0,0.0245144037879596,0.0231627468438922,0.0013516569440674003
60,20240816a,fa/fa,Young,F,28.0,0.0248836330442179,0.0238788082094552,0.0010048248347626978
63,20240816b,fa/+,Young,F,1.0,0.0245189098243634,0.0220835698927151,0.0024353399316482983
64,20240816b,fa/+,Young,F,2.0,0.0260376824254659,0.0220719781544206,0.003965704271045301
68,20240816b,fa/+,Young,F,7.0,0.0243193068344718,0.021497903817948,0.0028214030165238
71,20240816b,fa/+,Young,F,10.0,0.0243362441679623,0.0225910672376266,0.001745176930335702
72,20240816b,fa/+,Young,F,11.0,0.0249917064361237,0.0229022759277819,0.002089430508341799
73,20240816b,fa/+,Young,F,12.0,0.0250231185653478,0.0215200128647014,0.0035031057006464014
74,20240816b,fa/+,Young,F,13.0,0.0238144327972297,0.0216041399967749,0.002210292800454799
77,20240816b,fa/+,Young,F,17.0,0.0264229786584308,0.0242663655492203,0.0021566131092105
78,20240816b,fa/+,Young,F,18.0,0.0256513383037612,0.0224276387564325,0.0032236995473286997
79,20240816b,fa/+,Young,F,19.0,0.0262488345462183,0.0236229454829966,0.002625889063221698
80,20240816b,fa/+,Young,F,20.0,0.0239972340108029,0.0215662895979526,0.0024309444128503
81,20240816b,fa/+,Young,F,22.0,0.0260763145353685,0.0236939558351602,0.0023823587002082987
82,20240816b,fa/+,Young,F,23.0,0.026043600349996,0.0237066963046153,0.0023369040453807
85,20240816b,fa/+,Young,F,28.0,0.0263806540419284,0.0238721583534356,0.0025084956884928004
88,20240820a,fa/+,Young,M,2.0,0.0300214772407806,0.025614028418324,0.004407448822456601
91,20240820a,fa/+,Young,M,6.0,0.0304854182758155,0.0252801094831699,0.005205308792645601
92,20240820a,fa/+,Young,M,7.0,0.0323972510905416,0.0283545989900318,0.004042652100509796
93,20240820a,fa/+,Young,M,8.0,0.0325127533304217,0.0278976322055314,0.004615121124890303
94,20240820a,fa/+,Young,M,9.0,0.0294342333480817,0.0255911795351138,0.0038430538129679004
95,20240820a,fa/+,Young,M,10.0,0.0270711635526404,0.0262901284687629,0.0007810350838775015
96,20240820a,fa/+,Young,M,11.0,0.0305500060125614,0.0280008215375497,0.0025491844750116996
98,20240820a,fa/+,Young,M,13.0,0.0284000453645755,0.0259668423321116,0.0024332030324639015
99,20240820a,fa/+,Young,M,15.0,0.0321044268789475,0.0282083764767914,0.003896050402156105
100,20240820a,fa/+,Young,M,16.0,0.0281908545649927,0.0266838194144834,0.0015070351505092998
101,20240820a,fa/+,Young,M,17.0,0.028183307534519,0.0268345437528828,0.0013487637816361996
102,20240820a,fa/+,Young,M,18.0,0.0311452725796,0.0280043400918995,0.0031409324877005006
103,20240820a,fa/+,Young,M,19.0,0.0280751708902602,0.0247500565752915,0.0033251143149686975
105,20240820a,fa/+,Young,M,22.0,0.0290474071316088,0.0256980881295873,0.003349319002021501
107,20240820a,fa/+,Young,M,24.0,0.0298462844080275,0.0262644626681543,0.0035818217398732
108,20240820a,fa/+,Young,M,26.0,0.0279264691203484,0.0256512648746539,0.002275204245694499
110,20240820a,fa/+,Young,M,28.0,0.0328617074002631,0.0256193398451886,0.007242367555074496
117,20240820b,fa/fa,Young,M,9.0,0.0316170485046055,0.0322658397622823,-0.0006487912576767993
119,20240820b,fa/fa,Young,M,11.0,0.0220921732157175,0.0285440699447791,-0.006451896729061601
122,20240820b,fa/fa,Young,M,15.0,0.0210814400850082,0.0326324426949399,-0.011551002609931704
125,20240820b,fa/fa,Young,M,19.0,0.0262880947410974,0.0278273117578087,-0.0015392170167113015
126,20240820b,fa/fa,Young,M,20.0,0.0223549486841854,0.028139589738447,-0.005784641054261602
127,20240821a,fa/fa,Young,M,0.0,0.0260246496508342,0.0246820391949443,0.0013426104558898998
128,20240821a,fa/fa,Young,M,1.0,0.0278781903138369,0.0293532418515032,-0.0014750515376662984
129,20240821a,fa/fa,Young,M,2.0,0.0254860918506319,0.0256930665385419,-0.00020697468790999846
130,20240821a,fa/fa,Young,M,4.0,0.0233241718917399,0.0269837045297679,-0.003659532638028002
132,20240821a,fa/fa,Young,M,6.0,0.023769756050651,0.0245237831042055,-0.0007540270535544985
133,20240821a,fa/fa,Young,M,8.0,0.0250627030205458,0.0247767692154389,0.0002859338051068999
134,20240821a,fa/fa,Young,M,13.0,0.0236992010884298,0.0243280246129787,-0.000628823524548898
136,20240821a,fa/fa,Young,M,15.0,0.0228273073008506,0.0219538829897304,0.0008734243111202002
138,20240821a,fa/fa,Young,M,17.0,0.0243477957183471,0.0243473016667377,4.940516093975e-07
139,20240821a,fa/fa,Young,M,18.0,0.0245233721255219,0.0239099417939936,0.0006134303315282995
154,20240821b,fa/+,Young,M,12.0,0.0317752371149885,0.0254877700048252,0.0062874671101633035
166,20240822b,fa/+,Young,M,0.0,0.0335672402214182,0.0322052399497858,0.0013620002716323992
168,20240822b,fa/+,Young,M,2.0,0.033466065297272,0.0301196732828838,0.0033463920143882026
169,20240822b,fa/+,Young,M,3.0,0.0338521662996487,0.0299711901468164,0.0038809761528322967
173,20240822b,fa/+,Young,M,9.0,0.0262862006827304,0.0236637586742645,0.0026224420084659007
175,20240822b,fa/+,Young,M,11.0,0.0304431411468084,0.0288337147394712,0.0016094264073371993
180,20240822b,fa/+,Young,M,17.0,0.0332316602146533,0.0307411172395674,0.0024905429750858993
183,20240822b,fa/+,Young,M,20.0,0.0306934160236158,0.0288804102948211,0.0018130057287947011
185,20240822b,fa/+,Young,M,26.0,0.0341219976984137,0.0305802252818896,0.003541772416524102
187,20240822b,fa/+,Young,M,29.0,0.0295819869041649,0.0267787212910596,0.002803265613105302
193,20240823a,fa/fa,Young,F,2.0,0.0352020530881443,0.0322854745258008,0.002916578562343501
194,20240823a,fa/fa,Young,F,3.0,0.0352359818970816,0.0319727424676541,0.0032632394294275016
195,20240823a,fa/fa,Young,F,4.0,0.0337631525673051,0.0310787556169447,0.0026843969503604036
196,20240823a,fa/fa,Young,F,5.0,0.0376747628574978,0.032672715504777,0.0050020473527207995
197,20240823a,fa/fa,Young,F,6.0,0.0365265448144586,0.0335668523306786,0.002959692483780002
198,20240823a,fa/fa,Young,F,7.0,0.0367610989638381,0.0332088810897105,0.0035522178741276
199,20240823a,fa/fa,Young,F,8.0,0.0367015554689605,0.0336677732036831,0.003033782265277396
201,20240823a,fa/fa,Young,F,11.0,0.0331756063452391,0.0293147449773496,0.003860861367889497
202,20240823a,fa/fa,Young,F,12.0,0.0330982912587457,0.0290904866280448,0.0040078046307009015
203,20240823a,fa/fa,Young,F,13.0,0.0330650552608522,0.0296223757036044,0.003442679557247797
207,20240823a,fa/fa,Young,F,17.0,0.0377462938455376,0.0346714417840533,0.0030748520614842997
209,20240823a,fa/fa,Young,F,19.0,0.0326663287384665,0.0285812237140038,0.004085105024462698
212,20240823a,fa/fa,Young,F,23.0,0.0328011519096474,0.0295320126373832,0.003269139272264198
213,20240823b,fa/fa,Young,F,0.0,0.0357950830006671,0.0266961566210136,0.009098926379653496
217,20240823b,fa/fa,Young,F,7.0,0.0343917318194793,0.0263646457316537,0.0080270860878256
222,20240823b,fa/fa,Young,F,13.0,0.0323490700967687,0.0261433117708172,0.006205758325951497
223,20240823b,fa/fa,Young,F,14.0,0.0327524245458632,0.0268113098576233,0.0059411146882398964
225,20240823b,fa/fa,Young,F,17.0,0.0308680011084057,0.025372193227789,0.0054958078806166995
226,20240823b,fa/fa,Young,F,22.0,0.0299741865685879,0.02056253077887,0.0094116557897179
231,20240823b,fa/fa,Young,F,28.0,0.0356737654176078,0.0223173656884583,0.0133563997291495
232,20240823b,fa/fa,Young,F,29.0,0.0290188726541954,0.0201129375506043,0.008905935103591101
235,20240823b,fa/fa,Young,F,33.0,0.0313005516874372,0.0236925953064784,0.007607956380958802
252,20240826a,fa/+,Young,M,26.0,0.0256582138850857,0.0252034454895802,0.00045476839550549764
258,20241011a,fa/+,Adult,F,2.0,0.0308518453046805,0.0271981433179818,0.0036537019866986972
259,20241011a,fa/+,Adult,F,3.0,0.0292150226185258,0.026086034082256,0.0031289885362697986
263,20241011a,fa/+,Adult,F,7.0,0.0304084753649864,0.0271502149998593,0.003258260365127101
264,20241011a,fa/+,Adult,F,8.0,0.0293774762634084,0.0253198848155636,0.004057591447844799
265,20241011a,fa/+,Adult,F,9.0,0.0314168492725171,0.02523749447549,0.006179354797027102
267,20241011a,fa/+,Adult,F,11.0,0.0279342974192542,0.0209610647603963,0.006973232658857902
269,20241011a,fa/+,Adult,F,14.0,0.0278656674686941,0.0253712535013317,0.0024944139673623994
271,20241011a,fa/+,Adult,F,16.0,0.0284260272514412,0.021844889068923,0.006581138182518202
272,20241011a,fa/+,Adult,F,18.0,0.027878429888291,0.0223981943378517,0.005480235550439298
