,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
15,20240813a,fa/fa,Young,M,0,Vehicle,55.65217971801758,-2.03192138671875
16,20240813a,fa/fa,Young,M,10,Vehicle,58.6665267944336,-2.849647521972656
17,20240813a,fa/fa,Young,M,11,Vehicle,62.93274688720703,-1.416015625
18,20240813a,fa/fa,Young,M,12,Vehicle,47.44821166992188,-1.4843254089355469
19,20240813a,fa/fa,Young,M,13,Vehicle,48.67800521850586,-2.2427635192871094
20,20240813a,fa/fa,Young,M,14,Vehicle,51.62437057495117,-4.925056457519531
21,20240813a,fa/fa,Young,M,1,Vehicle,54.06309127807617,-2.932025909423828
22,20240813a,fa/fa,Young,M,2,Vehicle,53.21796417236328,-1.6153221130371094
23,20240813a,fa/fa,Young,M,3,Vehicle,62.82569122314453,-3.1935272216796875
24,20240813a,fa/fa,Young,M,4,Vehicle,62.74579620361328,-3.1033668518066406
25,20240813a,fa/fa,Young,M,5,Vehicle,59.07408142089844,-2.4554443359375
26,20240813a,fa/fa,Young,M,6,Vehicle,48.12856674194336,-3.063053131103516
27,20240813a,fa/fa,Young,M,7,Vehicle,54.142486572265625,-0.4205551147460937
28,20240813a,fa/fa,Young,M,8,Vehicle,64.2564926147461,-2.318035125732422
29,20240813a,fa/fa,Young,M,9,Vehicle,52.22148895263672,-2.1374282836914062
51,20240814a,fa/fa,Young,M,0,Vehicle,67.96755981445312,3.4310226440429688
52,20240814a,fa/fa,Young,M,10,Vehicle,72.23143005371094,0.4416427612304687
53,20240814a,fa/fa,Young,M,12,Vehicle,60.9000244140625,1.958194732666016
54,20240814a,fa/fa,Young,M,13,Vehicle,71.50132751464844,-2.4278793334960938
55,20240814a,fa/fa,Young,M,14,Vehicle,73.11808013916016,-1.0071334838867188
56,20240814a,fa/fa,Young,M,15,Vehicle,59.41792297363281,1.28271484375
57,20240814a,fa/fa,Young,M,16,Vehicle,63.6280403137207,1.595294952392578
58,20240814a,fa/fa,Young,M,17,Vehicle,60.7442626953125,2.197895050048828
59,20240814a,fa/fa,Young,M,18,Vehicle,58.30469512939453,2.39886474609375
60,20240814a,fa/fa,Young,M,19,Vehicle,59.2351188659668,2.7594070434570312
61,20240814a,fa/fa,Young,M,1,Vehicle,76.8688735961914,1.6547164916992188
62,20240814a,fa/fa,Young,M,2,Vehicle,51.63163757324219,1.1179351806640625
63,20240814a,fa/fa,Young,M,3,Vehicle,74.87246704101562,0.9654769897460938
64,20240814a,fa/fa,Young,M,4,Vehicle,72.48564147949219,1.1058349609375
65,20240814a,fa/fa,Young,M,5,Vehicle,85.79400634765625,3.0335845947265625
66,20240814a,fa/fa,Young,M,6,Vehicle,67.88428497314453,2.730308532714844
67,20240814a,fa/fa,Young,M,7,Vehicle,63.34590530395508,2.3431129455566406
68,20240814a,fa/fa,Young,M,8,Vehicle,63.47264862060547,-0.4965248107910156
69,20240814a,fa/fa,Young,M,9,Vehicle,60.77690887451172,9.182144165039062
98,20240815a,fa/+,Young,F,0,Vehicle,55.119102478027344,6.7966156005859375
99,20240815a,fa/+,Young,F,10,Vehicle,49.12013626098633,5.573268890380859
100,20240815a,fa/+,Young,F,11,Vehicle,50.70888519287109,5.99371337890625
101,20240815a,fa/+,Young,F,12,Vehicle,49.83691787719727,6.311214447021484
102,20240815a,fa/+,Young,F,13,Vehicle,49.954044342041016,6.9642486572265625
103,20240815a,fa/+,Young,F,14,Vehicle,49.353275299072266,4.22991943359375
104,20240815a,fa/+,Young,F,15,Vehicle,50.146331787109375,4.817756652832031
105,20240815a,fa/+,Young,F,16,Vehicle,45.06498336791992,5.377918243408203
106,20240815a,fa/+,Young,F,17,Vehicle,45.4684944152832,4.220817565917969
107,20240815a,fa/+,Young,F,18,Vehicle,45.83804702758789,4.842864990234375
108,20240815a,fa/+,Young,F,19,Vehicle,43.559112548828125,4.521759033203125
109,20240815a,fa/+,Young,F,1,Vehicle,48.805152893066406,5.759635925292969
110,20240815a,fa/+,Young,F,20,Vehicle,55.188087463378906,5.923366546630859
111,20240815a,fa/+,Young,F,21,Vehicle,55.961647033691406,5.238742828369141
112,20240815a,fa/+,Young,F,22,Vehicle,55.897499084472656,4.884174346923828
113,20240815a,fa/+,Young,F,23,Vehicle,47.23917007446289,5.41766357421875
114,20240815a,fa/+,Young,F,24,Vehicle,46.10330581665039,4.998256683349609
115,20240815a,fa/+,Young,F,26,Vehicle,44.80168151855469,6.101345062255859
116,20240815a,fa/+,Young,F,27,Vehicle,44.61680221557617,4.40679931640625
117,20240815a,fa/+,Young,F,28,Vehicle,41.83805847167969,5.611408233642578
118,20240815a,fa/+,Young,F,2,Vehicle,49.5737419128418,5.493457794189453
119,20240815a,fa/+,Young,F,3,Vehicle,44.9535026550293,5.476493835449219
120,20240815a,fa/+,Young,F,4,Vehicle,46.114253997802734,6.062602996826172
121,20240815a,fa/+,Young,F,5,Vehicle,50.14324188232422,6.368427276611328
122,20240815a,fa/+,Young,F,6,Vehicle,56.38884353637695,7.866458892822266
123,20240815a,fa/+,Young,F,7,Vehicle,46.62786483764648,5.121334075927734
124,20240815a,fa/+,Young,F,8,Vehicle,46.58568954467773,5.693275451660156
125,20240815a,fa/+,Young,F,9,Vehicle,47.28725814819336,5.013881683349609
152,20240815b,fa/fa,Young,F,0,Vehicle,46.77941131591797,7.063419342041016
153,20240815b,fa/fa,Young,F,10,Vehicle,53.93056106567383,9.455940246582031
154,20240815b,fa/fa,Young,F,11,Vehicle,55.91852569580078,8.543243408203125
155,20240815b,fa/fa,Young,F,12,Vehicle,50.87893295288086,9.215339660644531
156,20240815b,fa/fa,Young,F,13,Vehicle,49.669883728027344,7.842002868652344
157,20240815b,fa/fa,Young,F,14,Vehicle,53.02116394042969,8.764545440673828
158,20240815b,fa/fa,Young,F,15,Vehicle,57.01062774658203,8.378768920898438
159,20240815b,fa/fa,Young,F,16,Vehicle,66.04417419433594,9.95782470703125
160,20240815b,fa/fa,Young,F,17,Vehicle,61.16212844848633,8.114688873291016
161,20240815b,fa/fa,Young,F,18,Vehicle,65.24946594238281,11.087501525878906
162,20240815b,fa/fa,Young,F,19,Vehicle,66.72846221923828,14.61590576171875
163,20240815b,fa/fa,Young,F,1,Vehicle,49.50831604003906,8.055717468261719
164,20240815b,fa/fa,Young,F,20,Vehicle,56.01129150390625,8.280776977539062
165,20240815b,fa/fa,Young,F,21,Vehicle,58.025428771972656,12.141815185546877
166,20240815b,fa/fa,Young,F,22,Vehicle,53.157020568847656,8.763923645019531
167,20240815b,fa/fa,Young,F,23,Vehicle,57.60586929321289,11.96932601928711
168,20240815b,fa/fa,Young,F,24,Vehicle,59.10411834716797,9.465126037597656
169,20240815b,fa/fa,Young,F,25,Vehicle,57.80973815917969,9.980880737304688
170,20240815b,fa/fa,Young,F,26,Vehicle,63.182090759277344,13.090126037597656
171,20240815b,fa/fa,Young,F,2,Vehicle,52.7020149230957,9.02755355834961
172,20240815b,fa/fa,Young,F,3,Vehicle,48.63321304321289,9.41817855834961
173,20240815b,fa/fa,Young,F,4,Vehicle,52.81298828125,10.042015075683594
174,20240815b,fa/fa,Young,F,5,Vehicle,51.30883407592773,10.219051361083984
175,20240815b,fa/fa,Young,F,6,Vehicle,50.42723083496094,9.583824157714844
176,20240815b,fa/fa,Young,F,7,Vehicle,51.39249420166016,7.789871215820312
177,20240815b,fa/fa,Young,F,8,Vehicle,47.11998748779297,6.967628479003906
178,20240815b,fa/fa,Young,F,9,Vehicle,52.7769889831543,7.752361297607422
202,20240816a,fa/fa,Young,F,0,Vehicle,48.87603759765625,2.4824790954589844
203,20240816a,fa/fa,Young,F,10,Vehicle,46.884765625,2.275959014892578
204,20240816a,fa/fa,Young,F,11,Vehicle,51.4466552734375,2.0515594482421875
205,20240816a,fa/fa,Young,F,12,Vehicle,56.83759307861328,3.3460693359375
206,20240816a,fa/fa,Young,F,13,Vehicle,59.48420715332031,0.8023223876953125
207,20240816a,fa/fa,Young,F,14,Vehicle,63.89366149902344,2.3671875
208,20240816a,fa/fa,Young,F,15,Vehicle,69.35595703125,2.133949279785156
209,20240816a,fa/fa,Young,F,16,Vehicle,58.68399810791016,1.0468368530273438
210,20240816a,fa/fa,Young,F,17,Vehicle,42.57649230957031,2.3863563537597656
211,20240816a,fa/fa,Young,F,18,Vehicle,43.27656936645508,0.8591728210449219
212,20240816a,fa/fa,Young,F,1,Vehicle,43.31607055664063,2.107624053955078
213,20240816a,fa/fa,Young,F,20,Vehicle,40.48876953125,2.078540802001953
214,20240816a,fa/fa,Young,F,21,Vehicle,43.12540817260742,1.8685760498046875
215,20240816a,fa/fa,Young,F,23,Vehicle,45.90195846557617,2.128276824951172
216,20240816a,fa/fa,Young,F,24,Vehicle,40.99177169799805,1.6447410583496094
217,20240816a,fa/fa,Young,F,25,Vehicle,40.93682861328125,2.5605125427246094
218,20240816a,fa/fa,Young,F,26,Vehicle,54.375972747802734,2.39297866821289
219,20240816a,fa/fa,Young,F,27,Vehicle,47.280906677246094,1.3208732604980469
220,20240816a,fa/fa,Young,F,28,Vehicle,46.93498992919922,1.4798355102539062
221,20240816a,fa/fa,Young,F,32,Vehicle,55.95781707763672,3.686576843261719
222,20240816a,fa/fa,Young,F,3,Vehicle,45.0103874206543,1.9506988525390625
223,20240816a,fa/fa,Young,F,4,Vehicle,49.244754791259766,1.5910301208496094
224,20240816a,fa/fa,Young,F,5,Vehicle,46.90346145629883,1.750823974609375
225,20240816a,fa/fa,Young,F,6,Vehicle,50.75406646728516,2.140636444091797
226,20240816a,fa/fa,Young,F,7,Vehicle,54.25885009765625,2.8797531127929688
227,20240816a,fa/fa,Young,F,8,Vehicle,52.32207489013672,1.7058181762695312
228,20240816a,fa/fa,Young,F,9,Vehicle,48.277320861816406,0.4524345397949219
259,20240816b,fa/+,Young,F,0,Vehicle,47.10988998413086,6.83465576171875
260,20240816b,fa/+,Young,F,10,Vehicle,46.796836853027344,8.303619384765625
261,20240816b,fa/+,Young,F,11,Vehicle,46.55470275878906,5.9456787109375
262,20240816b,fa/+,Young,F,12,Vehicle,46.175594329833984,6.671783447265625
263,20240816b,fa/+,Young,F,13,Vehicle,49.15301513671875,6.528953552246094
264,20240816b,fa/+,Young,F,14,Vehicle,48.16273498535156,6.017688751220703
265,20240816b,fa/+,Young,F,15,Vehicle,50.4424934387207,5.704631805419922
266,20240816b,fa/+,Young,F,16,Vehicle,50.56697845458984,5.074764251708984
267,20240816b,fa/+,Young,F,17,Vehicle,53.35707092285156,5.208446502685547
268,20240816b,fa/+,Young,F,18,Vehicle,45.374961853027344,5.259906768798828
269,20240816b,fa/+,Young,F,19,Vehicle,52.55141067504883,7.60797119140625
270,20240816b,fa/+,Young,F,1,Vehicle,51.147499084472656,7.071369171142578
271,20240816b,fa/+,Young,F,20,Vehicle,57.19976043701172,7.651893615722656
272,20240816b,fa/+,Young,F,21,Vehicle,50.25437927246094,8.3155517578125
273,20240816b,fa/+,Young,F,22,Vehicle,48.77727508544922,6.799800872802734
274,20240816b,fa/+,Young,F,23,Vehicle,51.4808464050293,5.848926544189453
275,20240816b,fa/+,Young,F,24,Vehicle,47.182254791259766,5.015556335449219
276,20240816b,fa/+,Young,F,25,Vehicle,42.45388412475586,4.487602233886719
277,20240816b,fa/+,Young,F,26,Vehicle,47.64939880371094,5.034389495849609
278,20240816b,fa/+,Young,F,27,Vehicle,51.87569427490234,7.346561431884766
279,20240816b,fa/+,Young,F,28,Vehicle,43.16807556152344,5.740009307861328
280,20240816b,fa/+,Young,F,29,Vehicle,46.6339111328125,6.646751403808594
281,20240816b,fa/+,Young,F,2,Vehicle,47.76799392700195,6.127635955810547
282,20240816b,fa/+,Young,F,3,Vehicle,47.34772109985352,5.892292022705078
283,20240816b,fa/+,Young,F,4,Vehicle,44.30802154541016,6.646541595458984
284,20240816b,fa/+,Young,F,5,Vehicle,48.08460998535156,6.036518096923828
285,20240816b,fa/+,Young,F,6,Vehicle,57.35902786254883,5.496723175048828
286,20240816b,fa/+,Young,F,7,Vehicle,49.790645599365234,7.2401885986328125
287,20240816b,fa/+,Young,F,8,Vehicle,51.87151718139648,7.864994049072266
288,20240816b,fa/+,Young,F,9,Vehicle,46.406005859375,5.665142059326172
317,20240820a,fa/+,Young,M,0,Vehicle,81.78399658203125,5.348716735839844
