,rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change
0,20240813a,fa/fa,Young,M,0,Empa,51.40974426269531,-5.786632537841797
1,20240813a,fa/fa,Young,M,10,Empa,54.36055374145508,-2.7872772216796875
2,20240813a,fa/fa,Young,M,11,Empa,58.3036003112793,-5.046363830566406
3,20240813a,fa/fa,Young,M,12,Empa,45.07286834716797,-3.840888977050781
4,20240813a,fa/fa,Young,M,13,Empa,43.70719146728516,-1.874195098876953
5,20240813a,fa/fa,Young,M,14,Empa,45.7923469543457,-1.421772003173828
6,20240813a,fa/fa,Young,M,15,Empa,42.3940315246582,-1.9990196228027344
7,20240813a,fa/fa,Young,M,1,Empa,48.507774353027344,-4.659740447998047
8,20240813a,fa/fa,Young,M,2,Empa,48.605716705322266,-4.8087310791015625
9,20240813a,fa/fa,Young,M,3,Empa,56.57902908325195,-4.588588714599609
10,20240813a,fa/fa,Young,M,4,Empa,56.01008605957031,-4.998558044433594
11,20240813a,fa/fa,Young,M,5,Empa,52.3599967956543,-2.4054908752441406
12,20240813a,fa/fa,Young,M,6,Empa,42.65940475463867,-4.048393249511719
13,20240813a,fa/fa,Young,M,7,Empa,52.9045295715332,-5.515323638916016
14,20240813a,fa/fa,Young,M,8,Empa,58.65102767944336,-4.622730255126953
30,20240814a,fa/fa,Young,M,0,Empa,71.07527160644531,-6.066703796386719
31,20240814a,fa/fa,Young,M,10,Empa,78.39309692382812,-9.202484130859377
32,20240814a,fa/fa,Young,M,11,Empa,65.49699401855469,-7.074314117431641
33,20240814a,fa/fa,Young,M,12,Empa,60.49232864379883,-4.364604949951172
34,20240814a,fa/fa,Young,M,13,Empa,69.95637512207031,-7.003322601318359
35,20240814a,fa/fa,Young,M,14,Empa,74.16555786132812,-6.0196533203125
36,20240814a,fa/fa,Young,M,15,Empa,63.988563537597656,-6.558723449707031
37,20240814a,fa/fa,Young,M,16,Empa,65.75897979736328,-4.531711578369141
38,20240814a,fa/fa,Young,M,17,Empa,63.91202926635742,-5.7218780517578125
39,20240814a,fa/fa,Young,M,18,Empa,61.02375030517578,-5.084053039550781
40,20240814a,fa/fa,Young,M,19,Empa,61.72124862670898,-4.459739685058594
41,20240814a,fa/fa,Young,M,1,Empa,74.81915283203125,-5.583404541015625
42,20240814a,fa/fa,Young,M,20,Empa,64.22193908691406,-5.3908233642578125
43,20240814a,fa/fa,Young,M,2,Empa,68.7535629272461,-3.738075256347656
44,20240814a,fa/fa,Young,M,3,Empa,80.13231658935547,-6.193519592285156
45,20240814a,fa/fa,Young,M,4,Empa,71.78606414794922,-4.028968811035156
46,20240814a,fa/fa,Young,M,5,Empa,85.69910430908203,-3.2350006103515625
47,20240814a,fa/fa,Young,M,6,Empa,69.39288330078125,-6.009906768798828
48,20240814a,fa/fa,Young,M,7,Empa,63.74438095092773,-2.5693588256835938
49,20240814a,fa/fa,Young,M,8,Empa,59.63982009887695,-3.11297607421875
50,20240814a,fa/fa,Young,M,9,Empa,69.59331512451172,-4.0596923828125
70,20240815a,fa/+,Young,F,0,Empa,62.61026382446289,-10.047836303710938
71,20240815a,fa/+,Young,F,10,Empa,55.73151016235352,-8.734882354736328
72,20240815a,fa/+,Young,F,11,Empa,58.0930061340332,-10.756820678710938
73,20240815a,fa/+,Young,F,12,Empa,55.5329475402832,-8.137306213378906
74,20240815a,fa/+,Young,F,13,Empa,57.24184036254883,-10.70656967163086
75,20240815a,fa/+,Young,F,14,Empa,50.35668182373047,-8.266365051269531
76,20240815a,fa/+,Young,F,15,Empa,54.78800201416016,-10.03131866455078
77,20240815a,fa/+,Young,F,16,Empa,51.866607666015625,-8.407123565673828
78,20240815a,fa/+,Young,F,17,Empa,50.290504455566406,-7.306297302246094
79,20240815a,fa/+,Young,F,18,Empa,50.9364013671875,-7.605987548828125
80,20240815a,fa/+,Young,F,19,Empa,48.047000885009766,-7.720302581787109
81,20240815a,fa/+,Young,F,1,Empa,52.77935409545898,-9.274337768554688
82,20240815a,fa/+,Young,F,20,Empa,60.12092208862305,-10.528541564941406
83,20240815a,fa/+,Young,F,21,Empa,59.56354522705078,-10.617328643798828
84,20240815a,fa/+,Young,F,22,Empa,59.68071746826172,-10.815536499023438
85,20240815a,fa/+,Young,F,23,Empa,53.17511749267578,-10.655601501464844
86,20240815a,fa/+,Young,F,24,Empa,49.87281036376953,-6.882774353027344
87,20240815a,fa/+,Young,F,26,Empa,51.50476837158203,-9.725566864013672
88,20240815a,fa/+,Young,F,27,Empa,63.72394180297852,-10.343048095703123
89,20240815a,fa/+,Young,F,28,Empa,47.7105712890625,-7.569873809814453
90,20240815a,fa/+,Young,F,2,Empa,55.00309753417969,-8.1651611328125
91,20240815a,fa/+,Young,F,3,Empa,50.15834045410156,-8.333988189697266
92,20240815a,fa/+,Young,F,4,Empa,50.67354202270508,-6.379001617431641
93,20240815a,fa/+,Young,F,5,Empa,55.72579956054688,-9.49493408203125
94,20240815a,fa/+,Young,F,6,Empa,63.26317596435547,-10.09933090209961
95,20240815a,fa/+,Young,F,7,Empa,51.94807052612305,-8.569454193115234
96,20240815a,fa/+,Young,F,8,Empa,54.22611618041992,-9.362884521484377
97,20240815a,fa/+,Young,F,9,Empa,52.45164489746094,-6.981410980224609
126,20240815b,fa/fa,Young,F,0,Empa,52.700809478759766,-7.028343200683594
127,20240815b,fa/fa,Young,F,10,Empa,61.85708236694336,-6.571876525878906
128,20240815b,fa/fa,Young,F,11,Empa,60.31784439086914,-7.998516082763672
129,20240815b,fa/fa,Young,F,12,Empa,60.84065628051758,-7.786872863769531
130,20240815b,fa/fa,Young,F,13,Empa,56.487060546875,-7.494739532470703
131,20240815b,fa/fa,Young,F,14,Empa,57.98269271850586,-6.085262298583984
132,20240815b,fa/fa,Young,F,15,Empa,63.749267578125,-6.690670013427734
133,20240815b,fa/fa,Young,F,16,Empa,75.98473358154297,-3.4510574340820312
134,20240815b,fa/fa,Young,F,17,Empa,67.83448791503906,-7.519824981689453
135,20240815b,fa/fa,Young,F,18,Empa,69.66613006591797,-6.5076446533203125
136,20240815b,fa/fa,Young,F,19,Empa,73.80924224853516,-8.32830810546875
137,20240815b,fa/fa,Young,F,1,Empa,55.59784698486328,-7.9237823486328125
138,20240815b,fa/fa,Young,F,20,Empa,62.08281326293945,-7.268955230712891
139,20240815b,fa/fa,Young,F,21,Empa,70.84566497802734,-8.736122131347656
140,20240815b,fa/fa,Young,F,22,Empa,62.42726516723633,-6.765338897705078
141,20240815b,fa/fa,Young,F,23,Empa,64.84990692138672,-6.815467834472656
142,20240815b,fa/fa,Young,F,24,Empa,66.20625305175781,-7.838443756103516
143,20240815b,fa/fa,Young,F,25,Empa,62.836158752441406,-4.930759429931641
144,20240815b,fa/fa,Young,F,26,Empa,77.37001037597656,-10.048301696777344
145,20240815b,fa/fa,Young,F,2,Empa,63.21453475952149,-6.877094268798828
146,20240815b,fa/fa,Young,F,3,Empa,59.53881072998047,-5.212917327880859
147,20240815b,fa/fa,Young,F,4,Empa,60.91665267944336,-4.353984832763672
148,20240815b,fa/fa,Young,F,5,Empa,60.31528472900391,-6.108940124511719
149,20240815b,fa/fa,Young,F,6,Empa,58.89579391479492,-7.682380676269531
150,20240815b,fa/fa,Young,F,7,Empa,57.529762268066406,-6.799297332763672
151,20240815b,fa/fa,Young,F,8,Empa,51.47340774536133,-5.902336120605469
179,20240816a,fa/fa,Young,F,0,Empa,51.24642181396485,-4.479827880859375
180,20240816a,fa/fa,Young,F,10,Empa,49.88449096679688,-3.586925506591797
181,20240816a,fa/fa,Young,F,11,Empa,56.13898086547852,-4.378608703613281
182,20240816a,fa/fa,Young,F,12,Empa,60.93962097167969,-4.767494201660156
183,20240816a,fa/fa,Young,F,13,Empa,61.5244369506836,-4.8405609130859375
184,20240816a,fa/fa,Young,F,14,Empa,66.0406265258789,-4.526706695556641
185,20240816a,fa/fa,Young,F,15,Empa,68.90131378173828,-4.276153564453125
186,20240816a,fa/fa,Young,F,16,Empa,60.69171905517578,-5.1453704833984375
187,20240816a,fa/fa,Young,F,17,Empa,45.44457626342773,-3.774234771728516
188,20240816a,fa/fa,Young,F,18,Empa,46.03132247924805,-2.634258270263672
189,20240816a,fa/fa,Young,F,19,Empa,46.73537063598633,-4.4328155517578125
190,20240816a,fa/fa,Young,F,1,Empa,45.93334579467773,-2.554115295410156
191,20240816a,fa/fa,Young,F,21,Empa,44.5898323059082,-3.636371612548828
192,20240816a,fa/fa,Young,F,24,Empa,43.48461532592773,-2.2692184448242188
193,20240816a,fa/fa,Young,F,26,Empa,56.931114196777344,-4.5243682861328125
194,20240816a,fa/fa,Young,F,27,Empa,49.4873161315918,-4.176967620849609
195,20240816a,fa/fa,Young,F,28,Empa,49.90873336791992,-3.2405967712402344
196,20240816a,fa/fa,Young,F,30,Empa,41.02626037597656,-3.377277374267578
197,20240816a,fa/fa,Young,F,3,Empa,46.73078536987305,-1.0672569274902344
198,20240816a,fa/fa,Young,F,5,Empa,50.53847503662109,-4.034202575683594
199,20240816a,fa/fa,Young,F,6,Empa,53.645137786865234,-3.3509254455566406
200,20240816a,fa/fa,Young,F,7,Empa,58.54789733886719,-4.970706939697266
201,20240816a,fa/fa,Young,F,8,Empa,54.76179504394531,-4.433605194091797
229,20240816b,fa/+,Young,F,0,Empa,53.11445999145508,-6.553730010986328
230,20240816b,fa/+,Young,F,10,Empa,54.798439025878906,-7.231067657470703
231,20240816b,fa/+,Young,F,11,Empa,52.67255783081055,-7.502719879150391
232,20240816b,fa/+,Young,F,12,Empa,51.21919250488281,-6.262416839599609
233,20240816b,fa/+,Young,F,13,Empa,55.46205520629883,-7.168403625488281
234,20240816b,fa/+,Young,F,14,Empa,53.80012130737305,-5.493320465087891
235,20240816b,fa/+,Young,F,15,Empa,54.285980224609375,-6.869468688964844
236,20240816b,fa/+,Young,F,16,Empa,53.71052551269531,-6.399524688720703
237,20240816b,fa/+,Young,F,17,Empa,55.410770416259766,-6.6895751953125
238,20240816b,fa/+,Young,F,18,Empa,50.01267623901367,-6.042961120605469
239,20240816b,fa/+,Young,F,19,Empa,58.6198616027832,-6.977397918701172
240,20240816b,fa/+,Young,F,1,Empa,56.53856658935547,-8.985115051269531
241,20240816b,fa/+,Young,F,20,Empa,63.37887954711914,-9.391242980957031
242,20240816b,fa/+,Young,F,21,Empa,57.23858642578125,-9.119861602783203
243,20240816b,fa/+,Young,F,22,Empa,54.98273849487305,-7.458015441894531
244,20240816b,fa/+,Young,F,23,Empa,58.94734191894531,-9.23737335205078
245,20240816b,fa/+,Young,F,24,Empa,52.25120162963867,-6.632526397705078
246,20240816b,fa/+,Young,F,25,Empa,47.4069709777832,-6.137866973876953
247,20240816b,fa/+,Young,F,26,Empa,51.05611038208008,-5.494758605957031
248,20240816b,fa/+,Young,F,27,Empa,57.59392166137695,-6.950859069824219
249,20240816b,fa/+,Young,F,28,Empa,48.84089660644531,-5.666240692138672
250,20240816b,fa/+,Young,F,29,Empa,53.47883224487305,-6.1005401611328125
251,20240816b,fa/+,Young,F,2,Empa,53.93782424926758,-7.881526947021484
252,20240816b,fa/+,Young,F,3,Empa,52.7007064819336,-6.564872741699219
253,20240816b,fa/+,Young,F,4,Empa,51.2725715637207,-6.309226989746094
254,20240816b,fa/+,Young,F,5,Empa,54.16944885253906,-7.173542022705078
255,20240816b,fa/+,Young,F,6,Empa,62.13365936279297,-8.77279281616211
256,20240816b,fa/+,Young,F,7,Empa,55.664459228515625,-6.632804870605469
257,20240816b,fa/+,Young,F,8,Empa,58.17847442626953,-7.175262451171875
258,20240816b,fa/+,Young,F,9,Empa,52.33860778808594,-7.075828552246094
289,20240820a,fa/+,Young,M,0,Empa,79.6722412109375,0.93743896484375
290,20240820a,fa/+,Young,M,10,Empa,65.19295501708984,-1.6790885925292969
291,20240820a,fa/+,Young,M,11,Empa,74.61415100097656,-1.4090423583984375
292,20240820a,fa/+,Young,M,12,Empa,63.58647155761719,-0.9866943359375
293,20240820a,fa/+,Young,M,13,Empa,65.88311767578125,-1.1248931884765625
294,20240820a,fa/+,Young,M,14,Empa,71.90522003173828,-0.71331787109375
295,20240820a,fa/+,Young,M,15,Empa,89.5833511352539,-1.3254165649414062
296,20240820a,fa/+,Young,M,16,Empa,73.07263946533203,-0.6104736328125
297,20240820a,fa/+,Young,M,17,Empa,82.0265884399414,-1.2925643920898438
298,20240820a,fa/+,Young,M,18,Empa,71.7588882446289,-1.4151687622070312
299,20240820a,fa/+,Young,M,19,Empa,74.13525390625,-3.513252258300781
300,20240820a,fa/+,Young,M,1,Empa,75.09059143066406,-2.4656295776367188
301,20240820a,fa/+,Young,M,21,Empa,60.67060852050781,-3.1899490356445312
302,20240820a,fa/+,Young,M,22,Empa,59.07649612426758,-1.6854095458984375
303,20240820a,fa/+,Young,M,23,Empa,63.59683990478516,-0.98663330078125
304,20240820a,fa/+,Young,M,24,Empa,68.13660430908203,-0.0126266479492187
305,20240820a,fa/+,Young,M,25,Empa,72.04145050048828,-0.3837661743164062
306,20240820a,fa/+,Young,M,26,Empa,61.53334426879883,0.09112548828125
307,20240820a,fa/+,Young,M,27,Empa,62.04755401611328,-1.9623489379882808
308,20240820a,fa/+,Young,M,28,Empa,65.79187774658203,-2.488300323486328
309,20240820a,fa/+,Young,M,2,Empa,67.9627456665039,-0.329010009765625
310,20240820a,fa/+,Young,M,3,Empa,58.07844924926758,-0.7855148315429688
311,20240820a,fa/+,Young,M,4,Empa,66.34844970703125,-0.5836410522460938
312,20240820a,fa/+,Young,M,5,Empa,64.97021484375,0.3368301391601562
313,20240820a,fa/+,Young,M,6,Empa,59.04481887817383,0.864166259765625
314,20240820a,fa/+,Young,M,7,Empa,81.2105941772461,-0.277587890625
315,20240820a,fa/+,Young,M,8,Empa,80.72793579101562,-1.418975830078125
316,20240820a,fa/+,Young,M,9,Empa,67.46955108642578,-1.8614501953125
343,20240820b,fa/fa,Young,M,0,Empa,90.16790771484376,-14.425537109375
344,20240820b,fa/fa,Young,M,10,Empa,86.02555084228516,-13.303581237792969
345,20240820b,fa/fa,Young,M,11,Empa,88.07640075683594,-13.962669372558594
346,20240820b,fa/fa,Young,M,12,Empa,81.42047882080078,-12.69573211669922
347,20240820b,fa/fa,Young,M,14,Empa,98.80179595947266,-20.798065185546875
348,20240820b,fa/fa,Young,M,15,Empa,84.81101989746094,-15.001876831054688
349,20240820b,fa/fa,Young,M,16,Empa,98.27151489257812,-17.5784912109375
350,20240820b,fa/fa,Young,M,17,Empa,80.60270690917969,-12.351448059082031
351,20240820b,fa/fa,Young,M,18,Empa,79.59396362304688,-16.200702667236328
