,rat,gtyp,age,sex,treatment,bp_baseline,bp_change
15,20240813a,fa/fa,Young,M,Vehicle,123.31202,-9.208690000000004
51,20240814a,fa/fa,Young,M,Vehicle,128.43805,3.707809999999995
98,20240815a,fa/+,Young,F,Vehicle,122.92593,6.138599999999997
152,20240815b,fa/fa,Young,F,Vehicle,109.07689,3.2300559999999905
202,20240816a,fa/fa,Young,F,Vehicle,131.5759,-7.378299999999996
259,20240816b,fa/+,Young,F,Vehicle,114.59617,6.63288
317,20240820a,fa/+,Young,M,Vehicle,124.87928,-1.4147600000000011
365,20240820b,fa/fa,Young,M,Vehicle,120.4565,0.08867999999999654
412,20240821a,fa/fa,Young,M,Vehicle,121.58382,5.629109999999997
457,20240821b,fa/+,Young,M,Vehicle,122.36556,5.519496000000004
518,20240822b,fa/+,Young,M,Vehicle,123.03403,8.00200000000001
574,20240823a,fa/fa,Young,F,Vehicle,116.02306,4.625770000000003
628,20240823b,fa/fa,Young,F,Vehicle,121.21118,6.7152499999999975
685,20240826a,fa/+,Young,M,Vehicle,117.25614,3.7093749999999943
26,20241011a,fa/+,Adult,F,Vehicle,135.25256,6.130660000000006
81,20241011b,fa/+,Adult,F,Vehicle,137.33214,1.64058
142,20241014a,fa/+,Adult,F,Vehicle,128.9717,5.991600000000005
194,20241014b,fa/+,Adult,M,Vehicle,112.63493,9.038325999999998
237,20241015a,fa/+,Adult,M,Vehicle,128.2109,0.12796999999997638
279,20241015b,fa/+,Adult,M,Vehicle,114.854195,5.810988999999992
322,20241021a,fa/fa,Adult,M,Vehicle,115.75365,-11.989129999999989
362,20241021b,fa/+,Adult,F,Vehicle,130.31184,7.17362
408,20241022a,fa/+,Adult,F,Vehicle,130.69278,4.174990000000008
449,20241022b,fa/fa,Adult,M,Vehicle,129.76086,6.871039999999994
479,20241023a,fa/+,Adult,M,Vehicle,120.41127,1.7667299999999955
517,20241023b,fa/fa,Adult,F,Vehicle,126.77146,1.839880000000008
548,20241024a,fa/fa,Adult,F,Vehicle,134.8544,3.927030000000002
594,20241025a,fa/fa,Adult,F,Vehicle,126.63602,9.293649999999985
625,20241028a,fa/fa,Adult,M,Vehicle,115.94277,8.784350000000003
659,20241029a,fa/fa,Adult,M,Vehicle,123.82638,9.242070000000012
701,20241029b,fa/+,Adult,F,Vehicle,137.77512,1.8241100000000188
746,20241029c,fa/+,Adult,F,Vehicle,119.859856,8.397623999999993
788,20241030a,fa/fa,Adult,F,Vehicle,116.84752,12.78110000000001
814,20241030b,fa/fa,Adult,F,Vehicle,113.0837,4.97993000000001
