,rat,gtyp,age,sex,treatment,bp_baseline,bp_change
0,20240813a,fa/fa,Young,M,Empa,101.46493,-0.4405500000000018
30,20240814a,fa/fa,Young,M,Empa,130.18492,-7.15937000000001
70,20240815a,fa/+,Young,F,Empa,130.234,4.27122
126,20240815b,fa/fa,Young,F,Empa,110.77248,6.332965999999999
179,20240816a,fa/fa,Young,F,Empa,113.91038,-2.3231600000000014
229,20240816b,fa/+,Young,F,Empa,121.50594,3.77234
289,20240820a,fa/+,Young,M,Empa,121.049126,1.7333440000000024
343,20240820b,fa/fa,Young,M,Empa,107.108246,-17.771209999999996
388,20240821a,fa/fa,Young,M,Empa,125.03416,-3.307140000000004
433,20240821b,fa/+,Young,M,Empa,127.9787,-1.5200900000000104
486,20240822b,fa/+,Young,M,Empa,130.21016,2.704640000000012
550,20240823a,fa/fa,Young,F,Empa,115.70681,-0.018456000000000472
598,20240823b,fa/fa,Young,F,Empa,127.79612,3.220709999999997
656,20240826a,fa/+,Young,M,Empa,118.99778,2.1632899999999893
0,20241011a,fa/+,Adult,F,Empa,140.21898,4.9657700000000204
53,20241011b,fa/+,Adult,F,Empa,139.63004,5.984739999999988
111,20241014a,fa/+,Adult,F,Empa,137.18207,3.470749999999981
173,20241014b,fa/+,Adult,M,Empa,129.43657,-1.6367199999999826
211,20241015a,fa/+,Adult,M,Empa,127.49152,2.96623000000001
259,20241015b,fa/+,Adult,M,Empa,124.54905,-0.8948699999999974
299,20241021a,fa/fa,Adult,M,Empa,93.157814,-8.290099999999995
344,20241021b,fa/+,Adult,F,Empa,134.61313,2.9376800000000003
382,20241022a,fa/+,Adult,F,Empa,129.11429,4.201209999999975
438,20241022b,fa/fa,Adult,M,Empa,134.40591,-2.2786800000000085
458,20241023a,fa/+,Adult,M,Empa,123.2663,1.4685899999999918
500,20241023b,fa/fa,Adult,F,Empa,128.54279,-1.961039999999997
534,20241024a,fa/fa,Adult,F,Empa,136.98703,-0.7505299999999977
562,20241024b,fa/+,Adult,M,Empa,123.284424,4.630805999999993
580,20241025a,fa/fa,Adult,F,Empa,140.22717,-2.3990499999999884
610,20241028a,fa/fa,Adult,M,Empa,126.25282,-12.470039999999997
640,20241029a,fa/fa,Adult,M,Empa,135.28206,-6.5272600000000125
679,20241029b,fa/+,Adult,F,Empa,140.70946,-2.2620699999999943
725,20241029c,fa/+,Adult,F,Empa,133.63025,8.324280000000016
768,20241030a,fa/fa,Adult,F,Empa,129.48126,-0.34273999999999205
803,20241030b,fa/fa,Adult,F,Empa,121.50021,-10.749749999999992
