,rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change
0,20240813a,fa/fa,Young,M,0,3.1737661636792702,3.830591216937096,0.8285316766890577,-0.6568250532578257
1,20240813a,fa/fa,Young,M,1,2.802006914065435,3.431949715067661,0.8164475434367467,-0.6299428010022261
2,20240813a,fa/fa,Young,M,2,1.7742028683424005,2.6257871352854973,0.6756841956076894,-0.8515842669430969
3,20240813a,fa/fa,Young,M,3,2.101025347526257,2.320360045157009,0.9054738517461799,-0.2193346976307522
4,20240813a,fa/fa,Young,M,4,2.705516824355493,3.107429114697875,0.8706608339217229,-0.40191229034238196
5,20240813a,fa/fa,Young,M,5,2.769083797931672,4.072941921896615,0.6798731361831485,-1.3038581239649432
6,20240813a,fa/fa,Young,M,6,1.231640406526052,1.6062383099663136,0.7667856001715476,-0.37459790344026156
7,20240813a,fa/fa,Young,M,7,4.719781348338493,4.569020863423689,1.0329962347341604,0.15076048491480432
8,20240813a,fa/fa,Young,M,8,1.9457335426257207,3.207580540426473,0.6066047346599192,-1.2618469978007523
10,20240813a,fa/fa,Young,M,10,2.645545886113093,2.499974851575802,1.0582289995619492,0.14557103453729114
11,20240813a,fa/fa,Young,M,11,1.7870351397074191,3.265209072429124,0.5472957780243977,-1.478173932721705
12,20240813a,fa/fa,Young,M,12,2.031012571774997,1.6879533579346817,1.2032397472522998,0.34305921384031546
13,20240813a,fa/fa,Young,M,13,3.969791747056521,4.657812380493025,0.8522867438117638,-0.6880206334365044
14,20240813a,fa/fa,Young,M,14,3.490486910709967,2.990615342450873,1.1671467276862957,0.4998715682590942
16,20240814a,fa/fa,Young,M,0,3.632953886169096,7.130074055312317,0.5095254071677328,-3.497120169143221
17,20240814a,fa/fa,Young,M,1,3.512815886439539,9.426712645671657,0.3726448464568901,-5.913896759232118
18,20240814a,fa/fa,Young,M,2,4.24076120892941,6.304042171066833,0.6727050825251294,-2.063280962137423
19,20240814a,fa/fa,Young,M,3,7.131019697663534,10.568017865624151,0.6747736224840658,-3.436998167960617
20,20240814a,fa/fa,Young,M,4,5.06375612079768,10.52027987544927,0.4813328334177451,-5.456523754651591
21,20240814a,fa/fa,Young,M,5,10.5941299733536,16.238178522386818,0.6524210802799074,-5.644048549033219
22,20240814a,fa/fa,Young,M,6,3.994867856989908,8.229704566071737,0.48542056703461567,-4.234836709081829
23,20240814a,fa/fa,Young,M,7,2.864362777267372,2.688075000849291,1.0655814202960794,0.17628777641808124
24,20240814a,fa/fa,Young,M,8,2.184686539581468,2.567882080687664,0.8507737002457767,-0.383195541106196
25,20240814a,fa/fa,Young,M,9,3.369340807034824,5.314327130781192,0.6340108021426111,-1.9449863237463676
26,20240814a,fa/fa,Young,M,10,3.803769390886001,3.859530823525989,0.9855522768985051,-0.05576143263998823
28,20240814a,fa/fa,Young,M,12,3.4044153782544218,3.812296815305829,0.8930090030204832,-0.4078814370514072
29,20240814a,fa/fa,Young,M,13,2.602696260694641,3.2888825234973167,0.7913618811556083,-0.6861862628026758
30,20240814a,fa/fa,Young,M,14,4.8231496547467145,4.541956478682721,1.0619101432133375,0.28119317606399363
31,20240814a,fa/fa,Young,M,15,2.355632847843908,4.17606386268504,0.5640796992815458,-1.820431014841132
32,20240814a,fa/fa,Young,M,16,1.834891869876925,2.1107774625288034,0.8692966939672762,-0.2758855926518784
33,20240814a,fa/fa,Young,M,17,4.924217677248118,3.6129499351613217,1.3629354864083514,1.311267742086796
34,20240814a,fa/fa,Young,M,18,1.8867098797750737,2.157994954786034,0.8742883645722617,-0.27128507501096055
35,20240814a,fa/fa,Young,M,19,3.0543804906349816,2.573063287849274,1.1870599938441555,0.48131720278570755
37,20240815a,fa/+,Young,F,0,2.4666103002976394,18.619240516340238,0.13247641858071188,-16.1526302160426
38,20240815a,fa/+,Young,F,1,2.300750931914971,15.458144658048388,0.14883745642249951,-13.157393726133417
39,20240815a,fa/+,Young,F,2,2.0514434649019826,19.06852504031759,0.1075827029392419,-17.017081575415606
40,20240815a,fa/+,Young,F,3,2.605103161870217,6.410881015616403,0.40635649851001604,-3.805777853746186
41,20240815a,fa/+,Young,F,4,1.5926334541671123,8.200953319710747,0.1942010144527058,-6.608319865543635
42,20240815a,fa/+,Young,F,5,1.4752416732359903,6.560029430120762,0.22488339251380965,-5.084787756884772
43,20240815a,fa/+,Young,F,6,2.848224128995623,15.21942099987621,0.187144052918885,-12.371196870880587
44,20240815a,fa/+,Young,F,7,2.072259477206639,7.915622168527522,0.26179363202123684,-5.843362691320882
45,20240815a,fa/+,Young,F,8,4.183455194745745,6.642885944205271,0.6297647182088172,-2.4594307494595258
46,20240815a,fa/+,Young,F,9,3.4152021894649587,5.382472282732037,0.6345043708671863,-1.9672700932670781
47,20240815a,fa/+,Young,F,10,3.2161938025026893,12.878111449765486,0.2497411064540257,-9.661917647262797
48,20240815a,fa/+,Young,F,11,3.3414063794272293,11.566675277495047,0.2888821808569753,-8.225268898067817
49,20240815a,fa/+,Young,F,12,4.788286549704415,16.22087520545637,0.29519286037622267,-11.432588655751955
50,20240815a,fa/+,Young,F,13,3.851653575897216,8.62698710266973,0.446465669886683,-4.775333526772514
51,20240815a,fa/+,Young,F,14,2.460991200135678,10.028914395184584,0.24538959085315667,-7.567923195048905
